origState,destState,familycnt,personcnt
125,134,3,20
142,117,4,30
117,137,3,14
117,136,3,45
109,139,29,171
125,133,13,93
134,118,7,39
109,137,1,5
134,117,5,32
126,119,1,4
109,136,54,325
142,111,1,4
118,119,2,28
142,110,2,9
118,117,44,291
134,110,1,9
140,147,2,11
118,113,1,14
140,145,2,8
124,147,1,6
1905,124,1,6
141,125,1,12
124,142,18,98
133,125,11,61
142,109,4,26
117,129,12,77
133,123,5,31
125,124,1,5
142,107,1,7
142,106,1,6
109,129,1,4
117,126,3,15
125,123,10,69
134,109,1,11
117,125,1,5
125,122,1,4
117,124,1,4
109,125,5,24
117,121,14,95
123,154,4,16
123,152,1,5
118,101,1,5
124,139,41,278
124,137,2,16
141,118,1,4
107,152,2,21
124,134,1,6
125,118,5,35
117,118,13,99
109,118,4,24
140,128,3,18
123,142,1,15
107,147,1,8
3,121,1,6
124,125,1,8
133,109,2,8
124,121,7,40
125,109,7,40
117,105,11,70
130,152,2,16
125,101,1,10
122,154,1,4
122,152,2,13
117,101,3,22
600,151,11,55
123,139,4,31
123,136,9,48
123,133,5,24
107,137,1,10
140,113,1,15
124,118,1,10
124,111,2,12
122,148,1,5
600,147,1,10
122,147,2,15
600,142,3,13
123,126,1,8
123,125,12,83
140,105,1,7
123,121,1,7
140,101,1,4
107,121,1,4
124,101,2,12
121,154,5,49
121,153,1,12
121,152,72,578
113,154,1,12
121,150,2,11
600,139,3,29
113,152,6,44
122,136,1,5
600,136,17,108
106,139,1,6
123,119,1,7
123,118,1,5
123,117,1,5
877,135,2,9
107,113,1,4
121,148,4,22
121,147,112,696
121,145,5,39
113,147,28,188
105,148,4,16
121,142,4,21
113,145,38,231
105,147,2,11
122,129,1,7
122,128,14,93
600,126,2,9
113,140,3,26
122,125,1,5
600,125,1,4
600,123,7,35
600,122,7,52
122,121,2,11
120,152,1,13
121,139,40,287
121,137,14,111
121,136,1,7
113,139,1,4
113,137,27,179
121,134,3,18
105,139,1,4
113,136,1,10
121,133,1,5
105,137,1,6
600,117,1,10
743,142,2,12
121,129,120,777
121,128,3,12
113,129,1,5
113,128,40,269
121,124,2,8
105,129,2,12
121,122,1,6
113,125,1,9
105,128,2,8
113,124,1,4
600,109,1,9
743,139,3,15
113,122,4,20
734,152,1,5
113,121,7,31
600,106,2,16
743,136,1,9
122,105,1,4
105,122,4,33
105,121,2,14
122,101,1,9
120,139,1,6
120,137,1,6
121,119,2,20
121,118,171,1058
121,117,73,459
157,154,1,8
1822,123,1,6
113,118,1,4
113,117,2,12
121,113,4,36
105,118,1,4
149,152,1,11
105,117,2,16
113,112,9,57
743,122,3,21
111,142,1,4
112,125,1,7
121,109,1,5
742,136,1,6
121,106,1,9
113,109,1,8
121,105,7,40
742,134,1,7
113,106,1,6
113,105,2,15
121,102,2,8
121,101,32,200
113,101,116,714
110,152,1,4
105,101,2,14
859,121,1,19
111,139,3,20
111,137,1,5
120,119,1,7
120,118,1,7
741,142,1,4
112,113,4,25
670,152,1,5
743,109,1,5
102,148,1,4
200,152,3,19
200,151,1,8
110,142,2,9
732,155,1,10
148,147,3,14
148,145,1,5
670,142,5,33
110,139,13,69
101,152,1,7
200,145,2,15
200,144,1,11
110,134,1,4
200,142,12,80
155,151,1,11
147,154,1,5
139,155,1,5
147,152,25,159
139,154,7,34
139,153,2,13
139,152,44,304
148,137,2,14
139,151,6,37
670,139,2,10
101,148,1,4
101,147,38,290
101,145,23,168
200,139,5,38
200,137,1,14
110,127,1,4
101,141,1,6
200,136,12,56
102,129,1,9
110,124,2,11
147,148,5,24
147,145,7,58
139,147,4,29
147,142,2,8
139,145,3,21
139,144,2,14
147,141,2,13
147,140,5,31
111,101,1,6
148,128,1,6
139,142,65,478
670,127,1,4
148,122,2,12
148,121,1,5
670,125,1,9
802,139,1,10
101,137,5,46
110,118,1,6
200,126,1,12
154,152,171,1239
200,125,5,36
200,124,1,5
155,139,1,8
200,123,1,4
200,121,2,8
155,136,2,15
147,139,9,77
715,147,1,4
147,137,61,397
732,128,1,5
147,135,1,15
139,137,4,26
715,142,1,9
139,136,18,163
139,134,5,25
139,133,3,27
148,113,1,12
100,142,2,11
670,117,1,4
101,128,16,119
154,147,1,5
