origState,destState,familycnt,personcnt
121,124,1,4
121,122,1,5
715,139,2,9
121,120,24,145
715,136,1,8
124,154,10,62
670,148,12,59
124,153,1,5
670,147,1,4
107,101,1,5
124,152,5,28
124,151,1,4
670,143,1,9
117,148,22,122
153,106,1,4
117,147,10,56
670,142,13,64
153,105,1,11
117,146,4,24
121,119,6,29
153,104,1,4
121,118,43,250
121,117,27,164
117,142,16,101
117,141,4,16
117,140,5,23
121,113,3,15
131,155,2,13
715,122,1,5
131,150,3,12
124,147,1,4
156,131,1,8
670,139,11,61
156,130,2,12
670,136,13,73
124,142,15,85
670,134,2,8
117,139,43,274
117,137,1,5
670,131,3,13
117,136,5,28
117,133,1,6
121,106,2,10
121,105,18,102
117,131,71,397
121,101,2,11
715,118,1,5
131,148,1,10
131,146,1,4
156,129,1,4
156,127,1,11
131,142,3,12
124,139,7,45
124,137,1,4
124,136,5,27
670,129,10,46
124,134,1,4
670,127,25,137
670,126,16,77
124,131,1,8
670,124,2,16
117,129,295,1729
670,122,1,4
117,127,18,127
117,126,21,103
670,120,2,18
117,125,3,12
117,124,2,11
813,101,1,6
117,123,3,25
117,121,15,90
117,120,199,1161
715,109,1,7
131,139,4,21
131,137,1,10
131,136,1,5
732,155,10,49
156,119,1,9
124,125,2,10
670,119,12,70
670,118,6,32
124,123,1,5
670,117,22,116
124,121,1,5
124,120,1,4
117,119,255,1438
117,118,81,478
117,116,1,4
131,129,11,73
131,128,1,8
127,155,20,128
732,148,1,4
127,154,3,16
131,127,1,8
131,126,1,4
732,146,1,4
127,153,2,13
127,151,1,7
156,107,1,5
124,119,3,16
131,120,16,86
124,118,2,9
124,117,7,48
670,106,2,11
124,111,2,11
117,109,4,22
124,110,4,24
117,107,6,29
117,106,10,56
117,105,33,178
134,155,1,5
134,152,1,7
117,101,4,25
127,146,1,4
131,119,12,72
732,138,1,5
131,118,2,9
131,117,3,20
131,116,1,4
127,142,1,10
127,141,1,9
865,152,1,5
732,131,1,6
124,106,1,4
141,153,22,121
141,152,2,11
141,150,2,11
134,144,1,4
134,142,11,57
127,139,1,5
127,136,5,24
732,129,1,4
732,127,17,93
131,107,1,4
131,105,3,16
127,131,5,35
732,122,2,11
141,142,1,9
134,139,2,12
134,137,1,6
134,136,12,68
102,148,2,9
