origState,destState,familycnt,personcnt
117,150,7,70
1,152,1,4
715,139,3,16
121,120,12,80
715,136,4,24
107,106,1,7
124,155,2,10
156,141,1,6
124,154,4,23
670,148,42,222
124,152,4,27
117,148,24,161
153,106,1,5
117,147,12,94
670,142,8,54
121,119,13,79
121,118,57,326
117,144,2,14
121,117,94,593
117,142,9,47
117,141,9,77
117,140,3,24
121,113,2,16
715,129,3,15
715,126,1,7
131,155,4,21
131,150,4,26
124,147,2,19
670,139,28,160
670,136,16,80
124,142,9,50
670,134,1,4
117,139,32,207
117,137,3,16
670,131,2,11
117,136,11,52
117,134,1,10
117,133,1,4
121,106,2,9
121,105,24,130
117,131,16,122
117,130,1,5
121,101,1,5
715,119,3,14
715,118,1,4
131,142,2,19
131,141,1,4
124,139,7,44
124,136,2,9
670,129,17,85
124,134,1,5
124,133,1,5
670,127,22,115
670,126,14,70
670,124,1,6
117,129,145,867
117,128,1,6
117,127,52,327
670,121,8,53
117,126,7,42
117,125,1,4
670,120,4,23
117,124,1,5
117,121,21,119
117,120,31,168
715,106,1,7
732,155,12,66
124,129,1,4
732,150,1,9
124,128,1,5
124,127,2,11
124,126,1,4
124,125,2,11
670,119,17,85
670,118,26,137
670,117,45,250
124,121,1,4
718,139,1,4
124,120,2,14
117,119,230,1381
670,113,1,5
117,118,68,412
117,116,1,5
117,110,1,10
823,134,2,10
131,129,1,9
127,155,6,39
127,151,1,4
131,120,1,4
124,119,13,90
124,118,2,11
700,152,1,5
124,117,16,100
124,112,1,4
124,111,4,26
124,110,1,8
117,109,1,6
117,106,23,131
117,105,7,51
134,155,3,18
117,101,2,11
134,151,4,23
131,117,1,7
141,155,1,6
141,153,5,32
141,152,1,9
134,142,16,91
732,129,1,5
732,127,5,22
131,106,2,9
141,148,2,11
141,147,1,15
141,142,1,9
134,139,6,29
134,136,12,61
102,147,1,7
127,129,4,18
127,126,2,10
732,119,3,17
732,117,5,25
127,123,1,4
141,139,1,8
141,134,1,10
742,150,1,5
134,129,2,8
134,126,5,32
134,124,1,4
134,123,1,4
134,121,1,5
703,155,3,13
127,119,3,18
