origState,destState,familycnt,personcnt
121,124,1,14
121,122,2,19
121,120,1,5
715,139,10,52
715,136,3,17
124,154,1,4
670,148,1,4
124,152,7,38
670,143,1,9
117,148,11,77
117,147,41,257
670,142,28,141
153,105,1,15
121,119,3,14
121,118,180,1051
117,144,1,4
121,117,150,884
117,142,7,47
117,140,1,4
121,113,2,10
121,110,2,13
715,125,1,4
670,139,32,176
670,136,10,61
124,142,23,154
117,139,29,177
670,134,3,16
117,137,6,47
117,136,6,48
121,107,1,9
117,133,1,4
121,105,15,89
1,134,1,5
121,101,13,67
715,118,2,8
131,142,1,4
131,141,1,6
124,139,51,281
124,136,1,7
670,129,11,58
124,134,1,4
670,126,1,5
670,124,3,15
117,129,50,293
117,128,3,19
670,121,1,6
117,126,4,33
117,125,1,5
117,124,1,6
117,123,2,16
117,121,37,278
117,120,2,8
131,139,1,8
131,136,1,5
848,124,1,4
124,129,1,5
124,128,2,8
670,118,7,41
670,117,6,29
124,121,3,18
117,119,35,230
117,118,43,250
131,129,1,8
131,126,1,11
124,119,2,10
124,118,7,38
124,117,7,53
124,111,1,4
670,105,2,12
117,109,1,9
117,106,1,4
117,105,25,140
134,155,1,5
117,101,1,4
131,119,1,11
141,155,1,5
858,142,1,10
134,147,1,6
134,142,26,130
127,136,2,8
141,147,1,7
141,142,1,5
134,139,23,132
134,137,1,6
134,136,30,170
127,126,1,5
732,117,2,9
141,139,1,8
141,136,1,10
134,129,1,5
134,126,1,4
127,117,1,5
141,129,1,5
137,154,2,8
137,153,1,5
137,152,39,219
141,125,1,5
134,118,3,19
134,117,8,41
134,110,2,16
137,148,4,23
137,147,146,839
137,145,16,92
137,144,1,5
141,117,1,5
137,143,2,19
907,136,1,6
137,142,1,5
742,134,2,9
105,154,1,6
134,109,1,5
134,107,1,4
151,155,4,22
151,154,1,5
102,117,1,12
151,152,4,39
144,145,1,5
137,139,4,28
137,136,1,6
742,127,1,6
105,148,18,113
105,147,28,181
137,130,1,4
742,123,1,6
105,142,2,17
105,140,2,9
151,142,5,36
144,139,1,4
144,136,5,25
137,129,30,174
137,128,12,74
105,139,1,10
600,158,1,4
137,124,1,5
105,137,1,4
137,121,25,146
137,120,1,14
600,151,10,53
151,139,28,179
151,136,57,329
151,133,12,66
144,126,1,5
144,125,4,20
112,137,1,6
137,119,1,9
137,118,89,563
137,117,20,133
105,129,18,106
105,128,3,18
137,113,72,442
105,126,1,8
137,112,2,9
600,142,3,27
105,122,2,10
105,121,3,19
151,129,1,9
147,155,2,10
151,127,1,13
147,153,1,5
151,126,11,66
151,125,8,48
147,152,36,215
200,155,1,7
