origState,destState,familycnt,personcnt
138,140,1,6
107,127,3,17
107,126,3,16
107,122,1,5
107,121,1,7
107,120,2,8
743,152,1,11
712,132,1,4
712,131,1,4
138,139,1,8
107,119,5,29
138,131,1,5
107,118,5,25
138,130,4,27
107,117,1,6
107,116,3,13
720,155,1,12
146,158,5,30
146,156,2,11
146,155,3,18
146,153,4,22
146,150,1,4
115,136,1,6
138,127,11,61
138,122,1,6
138,120,4,29
107,106,8,40
107,105,1,4
911,117,1,4
107,104,5,37
107,101,2,9
123,153,1,4
743,131,1,4
123,151,3,13
712,116,2,12
146,141,2,15
146,140,3,24
138,119,4,28
138,118,2,19
138,117,1,4
138,116,2,14
100,156,1,8
100,155,4,24
146,139,2,9
146,138,34,237
100,152,1,4
123,144,1,5
743,122,1,4
100,150,2,14
123,140,1,10
146,131,9,58
146,130,3,17
138,105,1,6
154,156,1,9
100,148,15,110
154,153,9,69
100,147,2,20
154,152,33,197
100,145,1,7
146,129,2,14
123,136,2,9
100,142,4,26
146,127,15,83
146,126,3,15
123,133,2,12
100,140,80,492
146,120,1,4
131,156,2,12
131,155,4,30
131,154,2,16
131,153,19,100
100,138,2,17
131,150,5,24
154,142,16,107
100,136,5,32
100,135,1,5
743,106,1,4
154,140,1,6
146,119,6,41
100,133,1,5
123,125,9,46
146,117,1,6
100,131,1,6
146,116,1,5
146,112,1,4
146,110,1,6
131,148,2,10
154,139,34,170
131,146,13,83
154,138,1,5
154,137,1,5
154,136,2,12
131,142,1,4
100,129,3,16
131,141,6,32
131,140,29,161
100,127,2,23
154,132,1,6
100,126,4,30
100,121,2,12
146,107,4,23
100,120,2,10
146,106,2,11
131,139,2,11
131,138,4,27
154,129,2,11
131,136,3,14
131,135,1,5
154,126,5,26
131,133,3,30
100,119,4,27
154,124,12,81
100,118,1,8
131,130,5,24
100,117,2,8
123,109,2,13
154,121,9,68
154,120,1,8
123,107,1,4
123,106,1,6
123,105,1,4
131,129,12,82
131,128,2,10
131,127,3,14
154,119,2,11
131,126,4,24
154,118,1,5
154,117,2,17
100,109,1,4
131,120,40,253
100,107,1,4
100,106,3,14
100,105,3,21
131,119,35,233
131,118,3,28
131,117,12,71
131,116,4,29
154,107,1,6
154,105,1,6
154,101,2,12
131,107,23,167
131,106,11,75
119,156,2,13
119,155,16,88
