origState,destState,familycnt,personcnt
107,128,2,12
107,120,4,19
743,155,1,6
743,150,2,14
712,131,1,4
107,119,2,9
138,131,2,11
138,130,3,14
107,117,4,21
107,116,3,16
720,153,1,6
146,158,14,78
743,142,1,7
146,156,2,15
146,155,15,85
146,153,4,20
146,152,1,6
146,150,2,18
138,127,14,70
138,126,2,12
138,121,1,5
138,120,1,5
107,106,6,39
107,105,1,5
720,146,1,6
743,139,1,9
720,142,2,9
146,148,2,12
146,147,1,9
712,119,2,9
123,153,1,5
712,116,2,15
146,141,3,19
146,140,1,5
138,119,2,9
138,118,1,7
743,129,1,5
720,136,3,18
100,156,2,8
720,134,1,5
100,155,1,7
100,154,1,5
146,139,1,4
100,153,1,8
146,138,8,53
100,152,1,6
743,122,1,6
123,144,1,4
100,150,1,5
146,136,3,14
712,107,1,6
123,140,2,16
146,131,5,26
146,130,1,10
138,106,1,10
154,156,4,35
743,119,1,6
100,148,4,21
154,153,1,7
154,152,30,160
100,146,2,19
720,124,1,5
123,138,1,4
743,116,1,5
154,150,1,10
146,129,3,13
123,135,1,4
100,142,4,23
146,127,10,60
123,134,2,10
100,141,1,6
146,126,3,13
123,133,3,12
100,140,30,191
146,125,1,4
146,121,1,5
146,120,2,15
131,156,8,57
131,155,1,7
154,147,4,27
720,119,1,5
131,153,16,89
100,139,2,11
100,138,2,11
131,150,7,42
100,137,1,8
154,142,6,38
123,129,1,4
100,136,3,14
743,106,1,5
100,135,1,6
100,134,1,5
146,119,24,132
146,118,4,21
123,125,9,38
146,117,3,12
100,131,1,4
146,116,2,9
131,148,3,18
131,147,2,20
154,139,22,117
131,146,8,57
154,138,2,15
720,109,1,6
154,136,1,5
131,142,4,18
100,129,3,15
131,141,17,105
100,128,2,14
131,140,8,50
100,127,3,20
123,119,1,4
100,126,3,13
154,131,2,9
100,125,1,4
100,121,1,5
100,120,8,43
146,106,5,28
146,105,1,6
131,139,2,12
131,138,2,14
154,129,3,14
131,136,1,4
131,135,1,9
131,134,1,5
154,126,1,6
100,119,3,24
154,124,6,27
100,118,3,18
131,130,1,4
100,117,2,16
100,116,1,6
154,121,6,47
154,120,10,49
123,106,1,4
100,113,2,12
100,111,1,4
131,129,36,230
131,127,6,36
154,119,3,17
131,126,5,25
154,118,4,22
154,117,6,34
131,124,1,6
131,123,1,7
131,122,1,5
131,121,2,13
131,120,47,302
100,107,1,15
154,112,2,15
100,106,1,5
154,111,1,4
100,105,8,42
100,101,1,6
131,119,71,423
131,118,8,39
131,117,24,142
131,116,6,59
154,107,6,40
154,106,2,13
131,113,1,9
154,105,1,6
131,112,1,8
154,101,1,5
739,142,2,8
131,107,39,211
131,106,11,57
131,105,5,32
119,158,1,4
119,156,3,24
119,155,10,57
119,154,2,16
119,153,21,136
119,152,1,10
119,150,4,17
119,148,2,8
119,146,22,147
119,142,3,28
119,141,11,60
119,140,3,18
119,139,10,49
119,138,3,12
119,136,1,7
119,135,1,4
119,134,1,4
119,131,120,682
119,130,8,39
824,138,1,5
824,136,2,8
127,155,23,153
127,153,15,80
127,152,1,6
127,151,1,5
127,150,2,14
119,129,44,257
119,128,1,4
119,127,24,136
119,126,2,14
119,125,3,14
119,121,1,4
119,120,59,363
127,148,1,7
127,147,1,5
127,146,16,96
104,150,31,190
127,142,2,9
127,141,6,48
127,140,1,4
119,118,9,49
119,117,39,211
119,116,8,42
119,112,2,10
732,155,3,14
732,153,1,5
732,150,3,21
158,155,1,6
158,153,1,5
104,148,2,15
127,139,2,8
127,138,15,84
127,136,4,22
104,142,2,20
127,133,1,6
127,131,7,42
127,130,7,46
119,107,12,60
119,106,14,70
119,105,4,29
119,104,1,4
732,146,1,5
119,101,1,8
158,146,19,131
135,150,6,35
158,141,2,8
127,129,5,26
104,135,9,63
127,126,7,31
127,123,6,35
127,121,1,5
127,120,3,19
732,138,1,6
135,148,10,57
135,147,1,4
158,138,9,54
104,129,1,5
135,140,1,11
158,131,3,12
127,119,26,135
127,118,1,6
158,130,1,4
127,117,7,31
104,122,1,7
104,121,1,14
732,127,1,4
732,126,3,14
112,147,1,6
112,145,5,30
158,129,1,6
158,127,2,8
135,131,2,8
104,118,1,8
104,117,1,5
158,120,2,11
127,107,1,6
127,106,4,23
732,119,3,15
112,139,2,8
732,117,1,4
135,129,1,8
158,119,2,9
135,126,1,5
158,118,1,4
135,121,1,12
135,120,3,18
104,107,3,24
104,106,2,12
104,105,1,14
840,126,1,4
120,156,4,23
120,155,8,41
120,154,5,29
120,153,50,294
120,152,6,31
120,150,3,20
112,126,1,4
112,125,1,6
135,117,1,4
158,107,2,10
112,121,2,10
120,148,12,57
120,147,1,5
120,146,5,28
120,142,7,52
120,141,34,178
120,140,121,786
112,117,2,9
135,107,1,5
135,106,1,5
112,113,10,63
135,104,10,132
151,153,2,12
151,152,1,4
120,139,24,146
120,136,7,33
120,135,4,24
120,134,1,7
120,132,1,5
120,131,110,619
120,130,10,61
112,101,3,23
120,129,178,1075
120,127,2,12
120,126,5,31
120,125,1,5
120,124,2,15
120,122,3,16
120,121,5,25
143,112,1,4
151,139,1,10
151,138,1,5
151,136,5,24
151,133,7,34
120,119,74,459
151,131,2,10
120,118,44,265
120,117,51,256
120,116,10,64
120,112,1,4
151,129,1,4
151,125,7,39
120,109,1,4
120,107,45,297
120,106,29,157
120,105,23,151
120,104,1,7
120,102,1,5
120,101,2,10
736,153,1,4
151,109,1,4
736,148,1,5
736,146,7,40
736,142,2,9
139,156,1,5
736,141,4,26
139,155,3,15
736,140,1,6
139,154,37,247
139,153,3,14
139,152,3,14
736,139,1,5
736,138,8,51
116,156,14,100
116,155,1,4
139,148,1,5
139,147,10,50
116,154,1,6
139,146,2,9
116,153,13,94
736,131,2,13
116,150,61,470
139,142,20,101
139,141,2,11
139,140,3,16
736,129,1,5
116,148,2,17
139,136,7,38
116,142,1,5
736,120,7,30
116,141,10,62
139,131,16,90
139,130,4,19
721,155,1,4
147,156,1,4
147,153,4,25
147,152,9,40
147,150,1,5
139,129,13,86
139,127,4,26
139,126,26,135
139,125,1,7
139,124,1,5
116,130,3,14
139,121,16,95
139,120,28,162
813,109,2,16
721,142,1,5
721,140,7,42
147,148,57,348
124,154,7,42
147,145,2,12
124,152,3,12
813,101,1,4
147,141,1,6
116,129,1,6
736,107,2,9
147,140,13,77
139,119,4,19
139,118,42,243
139,117,24,136
139,112,2,10
721,136,1,5
147,139,1,4
147,137,7,47
101,150,1,10
124,142,21,108
116,119,2,12
147,131,1,7
116,118,1,5
116,117,1,7
139,109,1,4
139,107,9,45
139,106,8,34
139,101,2,12
155,158,1,8
200,156,2,12
200,155,1,4
721,129,1,9
200,153,2,13
155,154,1,7
200,152,2,9
101,148,45,286
155,153,20,102
101,147,11,62
200,150,8,55
155,151,1,7
124,139,1,11
155,150,1,14
101,145,3,15
721,122,2,12
147,129,16,103
124,136,1,5
147,128,6,26
147,121,39,255
116,107,2,11
116,106,3,17
116,104,2,14
200,148,1,5
155,148,1,7
132,154,1,4
200,145,1,4
155,146,20,111
200,144,3,13
101,139,2,9
721,117,2,8
200,142,19,114
132,150,1,7
200,141,1,4
155,142,4,20
155,141,2,15
124,129,1,7
101,135,1,7
147,118,4,21
147,117,3,20
101,130,1,6
