origState,destState,familycnt,personcnt
117,150,4,29
121,123,1,5
146,107,1,5
715,139,1,5
121,120,15,89
107,105,1,7
124,154,7,32
670,148,8,41
670,147,1,4
124,152,2,9
670,145,1,4
117,148,13,63
670,142,4,21
117,147,31,199
153,106,1,5
117,146,1,4
121,119,5,28
117,145,1,12
121,118,40,236
121,117,34,204
117,142,12,72
117,141,1,6
117,140,2,9
715,129,1,7
131,156,3,14
131,155,3,16
131,154,2,18
715,122,1,6
715,120,1,9
131,150,5,33
124,145,1,5
670,139,7,33
124,144,1,6
670,136,18,94
124,142,16,84
670,134,1,4
117,139,33,195
117,137,1,7
670,131,6,31
117,136,11,65
117,134,2,8
121,106,2,8
117,132,1,6
121,105,14,92
117,131,54,348
117,130,1,5
1001,150,1,7
131,148,1,8
156,129,1,4
124,139,6,33
124,136,1,4
670,129,13,76
670,127,22,114
670,126,24,123
670,124,1,4
117,129,309,1927
117,128,6,27
117,127,20,116
670,121,2,9
117,126,19,99
117,125,1,4
670,120,5,27
117,124,4,24
117,122,2,10
117,121,23,155
117,120,125,753
131,139,2,8
131,136,1,5
732,155,9,54
156,119,1,6
732,153,1,8
732,150,3,31
124,129,2,15
124,126,2,12
670,119,18,98
670,118,4,17
670,117,26,134
124,120,3,25
117,119,259,1487
936,148,1,4
117,118,58,350
117,116,2,8
117,112,1,6
127,158,2,9
131,129,27,156
732,148,1,9
127,155,18,98
732,146,1,5
131,126,1,6
127,153,1,9
156,106,1,7
131,120,7,34
124,119,4,27
124,118,2,12
124,117,6,42
670,107,1,5
124,111,4,23
124,110,2,8
117,107,4,21
117,106,6,43
911,150,1,10
117,105,34,212
117,104,1,8
134,154,2,17
117,101,3,18
127,147,1,9
131,119,24,132
131,118,1,5
131,117,4,21
131,116,1,4
127,142,2,8
127,141,1,4
124,106,1,5
141,153,31,200
124,101,1,9
141,152,1,8
141,151,1,5
141,150,4,27
134,142,13,58
127,139,5,26
127,138,1,7
127,136,4,21
131,107,1,5
732,127,14,79
127,133,1,5
127,131,2,16
127,130,1,9
141,142,1,5
134,139,2,11
134,136,16,89
102,148,1,4
134,132,1,4
127,129,7,43
823,106,1,6
127,126,3,18
732,119,7,36
127,125,1,4
732,117,1,4
127,123,1,7
127,121,1,5
127,120,6,35
141,139,1,6
141,136,1,6
742,155,2,8
907,150,1,4
141,130,1,4
742,150,5,26
134,125,5,42
134,123,2,16
703,155,3,18
134,120,1,8
127,119,12,75
127,118,2,12
127,117,12,76
141,129,4,32
137,154,2,8
141,127,1,6
137,153,1,4
141,126,2,15
137,152,19,114
134,119,7,42
134,117,6,37
703,148,1,5
134,110,1,5
127,109,1,4
127,107,1,6
127,106,1,6
1946,126,1,7
144,155,1,9
144,153,1,5
137,148,8,43
137,147,51,333
141,119,4,21
137,145,17,107
141,118,1,6
141,117,3,12
141,116,1,7
141,115,1,5
137,142,2,9
742,131,1,6
134,109,1,4
134,106,1,8
151,155,9,56
151,154,1,4
151,150,1,4
137,139,1,9
137,136,1,4
742,127,4,24
105,148,61,389
742,126,2,9
105,147,19,104
141,106,32,209
141,105,2,11
137,131,1,4
742,120,1,5
105,141,1,8
105,140,5,30
703,129,2,8
703,127,3,13
151,142,1,5
102,105,5,32
144,136,1,6
144,134,1,5
112,145,1,8
137,129,14,70
137,128,2,13
742,119,2,14
600,158,1,5
105,139,1,4
742,117,12,68
105,137,2,13
600,155,21,119
137,121,8,46
706,155,2,9
600,154,2,9
600,153,3,18
137,120,5,26
600,152,1,6
600,151,13,74
151,139,2,8
151,136,14,77
151,134,3,12
151,133,8,40
144,127,1,4
144,126,1,5
144,125,7,33
137,119,4,33
137,118,17,90
137,117,1,5
105,129,56,357
600,148,2,11
105,128,6,31
137,113,12,99
137,112,1,5
600,144,3,16
600,142,7,40
600,141,1,4
706,142,1,6
105,122,7,34
105,121,7,40
105,120,3,19
151,127,1,4
151,126,2,10
200,156,2,22
151,125,7,32
147,152,18,103
200,155,7,39
151,124,1,4
200,154,2,9
151,123,1,4
147,150,1,7
200,152,1,6
720,155,1,4
720,154,1,4
151,120,1,6
200,150,40,291
144,117,1,4
720,152,1,5
600,139,9,50
137,105,13,69
154,156,1,8
112,120,1,9
154,155,1,8
105,118,4,21
105,117,4,24
600,136,26,147
137,101,2,13
154,152,113,806
600,134,1,5
600,133,3,13
105,113,3,14
600,131,3,17
147,148,37,204
600,130,4,16
151,119,5,26
151,118,1,6
147,145,1,8
151,117,6,36
200,145,2,11
200,144,1,4
200,142,29,157
144,109,6,26
720,142,4,21
112,113,14,77
154,147,2,14
600,129,8,59
600,128,1,4
600,127,18,136
600,126,100,611
105,106,2,9
600,125,22,121
706,125,1,4
154,142,14,82
105,104,2,13
122,155,2,11
600,123,18,112
600,122,4,18
147,139,3,14
105,102,4,33
105,101,15,107
147,137,29,152
600,120,3,22
147,136,1,6
200,139,13,72
200,138,1,4
200,137,2,12
200,136,14,100
720,139,4,17
147,131,1,9
200,134,9,49
200,133,1,4
720,136,2,14
720,134,1,3
720,133,1,11
154,139,29,170
112,101,9,46
600,119,18,112
154,136,1,5
600,118,7,42
600,117,20,119
122,148,39,228
122,147,1,5
154,131,2,12
122,145,1,4
147,129,52,334
147,128,30,175
147,126,2,9
200,129,2,10
200,126,11,64
720,129,1,5
200,125,2,8
147,121,80,502
200,124,3,19
147,120,4,25
720,126,1,5
200,121,1,5
200,120,2,10
804,105,2,8
154,129,10,76
600,109,2,8
154,127,3,14
154,124,5,27
600,106,9,44
122,136,1,8
122,135,1,7
154,121,17,110
154,120,7,36
147,118,8,44
147,117,26,188
200,119,5,29
200,118,1,9
200,117,21,104
200,116,1,8
147,113,15,89
720,119,2,8
720,118,1,6
720,117,1,6
147,110,1,10
200,113,1,12
154,119,3,17
154,118,4,20
154,117,8,47
122,129,2,9
118,155,15,96
122,128,16,77
118,154,3,22
118,153,5,30
118,152,6,30
147,106,1,8
200,109,4,22
147,105,59,351
147,104,1,5
200,106,1,4
200,105,1,10
147,101,32,205
720,106,1,4
157,145,1,7
125,155,1,4
125,151,9,51
125,150,2,15
118,148,2,17
118,147,9,47
122,119,3,15
122,118,2,9
122,117,1,7
154,101,1,11
118,142,11,56
118,141,2,9
118,140,1,6
122,112,1,5
132,150,11,103
125,144,7,39
125,142,3,13
118,139,65,400
118,137,3,19
118,136,4,27
118,134,3,17
122,105,10,61
118,131,18,97
122,101,5,46
132,148,3,22
125,139,7,44
125,136,8,44
100,150,2,26
125,134,1,4
125,133,15,67
125,131,1,5
118,129,120,698
118,128,1,6
118,127,22,145
118,126,42,244
118,124,1,8
118,121,35,193
118,120,83,514
132,136,1,4
733,155,2,12
100,148,2,9
100,147,2,9
100,142,3,23
125,127,4,21
125,126,1,4
100,140,2,17
125,124,1,5
125,123,6,26
118,119,98,639
118,117,158,946
118,113,1,4
856,125,1,7
118,110,4,21
128,152,1,4
100,139,4,17
128,150,1,4
100,137,1,4
100,136,7,42
100,134,1,5
125,119,2,10
125,118,3,17
125,117,8,51
118,106,1,4
118,105,5,31
118,104,1,5
118,101,4,32
135,150,1,4
824,126,1,7
128,148,66,412
128,147,12,68
824,123,1,4
128,145,2,16
132,117,1,5
100,129,1,8
128,142,1,4
100,127,1,4
100,126,3,15
100,125,1,8
125,109,11,57
125,107,1,4
125,106,1,9
100,121,3,16
142,155,21,124
142,154,15,96
142,152,8,39
142,150,2,13
128,137,1,4
132,109,1,8
733,127,4,27
132,106,10,57
132,105,1,4
100,119,2,8
100,118,3,24
100,117,7,51
726,118,1,4
100,112,1,5
142,147,1,6
100,110,1,5
142,141,4,26
128,129,7,41
824,106,2,8
128,126,1,5
733,118,1,4
100,109,1,4
128,122,20,119
128,121,2,15
128,120,1,6
100,106,1,5
100,105,1,4
142,139,60,329
142,138,1,5
100,101,2,18
142,137,1,7
142,136,33,156
743,155,1,6
142,134,17,97
142,132,1,4
142,131,8,55
110,142,7,38
1954,147,1,6
128,119,1,9
128,118,1,7
128,117,3,23
733,106,1,7
128,112,2,12
138,158,1,5
142,129,34,219
142,128,1,8
743,147,1,4
142,127,12,67
142,126,20,113
110,139,2,14
142,125,5,36
142,124,16,99
743,142,1,4
142,121,2,8
711,155,10,47
110,134,1,5
142,120,19,127
128,106,1,5
128,105,36,222
128,101,24,155
142,119,67,425
743,139,2,8
142,118,29,200
142,117,60,338
142,116,1,4
743,136,1,5
106,155,1,10
106,153,1,7
142,111,1,5
142,110,1,6
110,124,3,13
106,150,1,15
135,107,1,4
135,106,1,6
110,120,1,5
152,155,1,6
152,154,188,1294
736,120,2,12
152,150,1,11
145,148,9,46
145,147,8,43
145,143,1,9
145,142,1,4
113,152,3,13
142,109,3,14
106,148,2,12
743,127,1,8
142,107,1,5
743,126,1,5
711,139,2,9
110,119,6,34
110,118,5,25
743,122,2,12
106,141,9,44
152,148,4,25
711,131,1,5
152,147,28,162
152,145,1,5
152,142,3,14
120,155,1,11
120,154,1,8
145,137,25,156
145,136,3,15
120,150,1,9
113,148,38,225
113,147,35,215
113,145,10,63
138,127,1,4
113,140,1,8
106,139,1,4
743,117,1,5
106,136,4,25
711,129,1,8
138,120,1,4
711,126,1,4
110,105,1,8
106,132,8,52
106,131,1,7
106,130,2,8
152,139,18,99
152,137,26,151
152,136,2,11
152,134,1,4
120,148,5,32
152,131,1,11
145,129,1,8
145,128,5,30
120,142,2,10
120,141,2,13
113,139,1,4
120,140,1,5
145,124,1,10
113,137,7,61
714,155,1,4
145,121,4,22
138,119,1,5
113,133,1,4
138,117,1,4
106,129,9,73
106,127,1,4
711,119,1,8
106,126,4,29
106,125,1,7
711,117,1,9
106,123,1,5
106,121,1,6
106,120,1,4
152,129,30,183
148,155,2,8
152,128,5,26
148,154,1,4
152,127,2,12
120,139,8,44
152,124,7,41
120,137,1,5
148,150,1,4
152,122,3,13
120,136,5,20
152,121,33,201
120,134,1,4
152,120,7,36
145,119,1,4
120,131,5,31
113,129,3,14
721,150,2,10
109,155,3,17
113,128,7,44
113,127,1,4
145,113,14,78
145,112,3,16
145,111,1,4
109,152,1,10
109,151,4,17
113,124,1,4
109,150,2,24
113,122,3,17
155,158,1,6
113,121,2,10
106,119,5,23
851,133,1,9
106,118,1,7
155,154,2,8
106,117,6,37
155,153,7,53
155,151,1,7
106,113,2,9
155,150,1,4
148,147,16,88
152,119,3,20
148,146,1,6
152,118,8,39
148,145,1,12
152,117,10,58
148,142,1,7
116,156,3,19
120,129,85,536
120,128,1,5
116,155,1,8
721,148,1,5
152,113,2,9
148,140,4,23
120,126,1,4
152,111,3,16
116,150,26,232
120,121,9,67
145,105,8,44
721,140,2,12
630,154,4,20
113,118,2,13
630,153,4,44
109,144,2,9
714,136,1,4
109,142,2,8
145,101,9,49
113,112,26,182
155,147,2,11
155,146,2,10
106,109,1,5
155,144,1,4
106,107,2,8
155,142,5,29
155,141,3,21
123,155,2,12
148,139,2,12
123,154,1,4
123,153,2,15
148,137,2,16
152,109,1,5
123,150,2,8
148,135,5,27
152,106,3,19
152,105,1,4
120,119,26,146
120,118,7,38
148,130,2,15
120,117,17,101
116,141,6,34
120,113,1,4
120,112,1,7
120,111,1,5
113,109,1,5
109,136,12,62
109,134,2,11
113,107,1,5
113,106,1,4
113,105,30,153
109,131,1,4
851,118,1,4
155,139,8,46
113,102,2,13
155,138,2,12
113,101,67,433
155,136,9,49
130,150,5,43
155,132,1,7
155,131,17,97
123,144,1,7
148,129,54,324
148,128,12,84
148,125,1,4
148,122,16,105
148,121,4,28
1000,155,1,4
721,127,1,5
148,120,3,12
120,107,4,26
120,106,1,5
721,126,1,8
116,132,1,4
120,105,20,114
109,129,1,8
721,122,1,5
109,127,2,10
109,126,1,4
109,125,12,55
130,148,4,25
109,120,1,6
155,129,11,64
130,142,1,10
155,127,62,342
130,141,1,8
155,126,17,94
123,139,1,4
155,125,1,4
123,137,1,4
155,122,1,8
123,136,4,19
155,121,1,4
123,134,2,9
155,120,12,68
123,133,4,18
148,117,6,40
123,131,1,4
116,129,2,13
148,113,2,19
109,119,2,8
116,120,2,13
109,117,1,4
130,137,1,4
109,113,2,16
155,119,81,462
155,118,9,52
119,158,1,4
130,132,2,9
155,117,25,143
130,131,1,5
119,155,20,115
119,154,3,21
123,127,8,47
119,153,2,10
123,126,1,7
123,125,12,64
123,124,1,4
119,150,2,12
148,107,4,21
148,106,8,59
148,105,102,593
116,119,4,26
116,118,1,5
148,104,3,25
116,117,1,4
148,101,9,71
721,106,1,5
158,146,2,10
109,106,1,4
130,129,3,18
126,155,13,67
126,154,2,11
126,151,2,8
119,148,3,15
119,147,1,4
155,106,2,9
119,146,2,10
123,119,2,8
123,118,1,4
123,117,1,4
119,142,5,38
119,141,6,33
119,140,1,12
116,106,4,22
133,155,4,22
133,151,6,33
1000,120,1,5
630,106,3,14
126,147,1,6
130,119,2,9
158,131,2,8
130,117,1,5
130,116,1,6
126,142,6,30
119,139,27,159
119,136,5,38
3,139,1,4
119,133,1,5
123,106,6,33
119,131,35,208
119,130,3,19
140,152,1,4
1000,117,1,6
133,144,1,4
133,142,1,4
101,154,1,13
126,139,28,140
101,152,2,9
126,136,17,99
130,106,1,8
126,131,6,33
119,129,172,1062
119,127,16,93
119,126,6,26
119,125,1,7
140,148,12,76
119,123,1,4
140,147,3,18
119,122,1,6
119,121,1,6
119,120,81,534
140,142,1,4
133,136,1,4
133,134,1,6
101,148,68,418
158,119,3,16
101,147,42,251
101,145,2,13
