origState,destState,familycnt,personcnt
121,124,2,14
117,150,2,15
121,120,2,15
715,139,5,27
107,109,2,13
124,154,1,4
124,152,3,16
117,148,11,56
670,143,1,4
117,147,29,194
670,142,14,78
121,119,13,78
117,145,1,8
121,118,108,630
117,144,1,4
121,117,87,558
117,142,6,47
715,125,1,5
124,147,2,12
670,139,34,197
670,136,5,26
124,142,9,70
117,139,38,245
117,137,1,5
117,136,14,89
117,134,1,4
121,105,27,160
121,102,1,5
121,101,9,61
131,142,1,8
124,139,24,151
670,129,13,74
670,127,1,5
670,126,6,31
670,124,5,24
117,129,128,777
117,128,1,5
670,122,3,14
830,155,1,4
670,121,3,17
117,126,3,18
117,125,2,10
117,121,22,117
117,120,1,5
131,139,3,26
131,137,1,7
124,129,8,40
124,128,2,9
670,119,1,4
670,118,18,89
670,117,9,42
124,121,1,6
117,119,93,575
117,118,53,369
117,110,1,6
127,155,1,6
124,119,1,4
124,118,4,25
124,117,10,52
124,111,2,9
124,110,1,4
117,109,1,6
117,107,1,5
117,106,3,18
117,105,11,75
1001,125,1,6
134,154,1,8
134,152,1,5
131,119,1,7
127,141,1,6
141,152,1,9
134,148,1,7
134,142,21,105
127,133,1,4
1840,152,1,6
141,147,3,22
134,139,19,114
134,136,13,69
127,126,2,11
127,123,2,13
141,139,1,6
134,129,2,13
134,126,2,13
134,125,1,6
134,121,1,5
141,129,2,15
137,154,2,9
137,152,27,165
137,151,1,8
134,119,1,13
134,118,4,21
134,117,11,52
134,111,2,8
134,110,2,9
144,155,1,4
137,148,4,34
137,147,94,538
137,145,18,104
141,117,1,4
137,143,1,9
742,134,1,4
141,113,1,6
105,152,2,13
134,109,1,4
151,155,5,24
151,152,3,20
7,125,1,4
144,142,1,5
137,139,3,27
105,148,20,107
105,147,16,130
907,125,1,5
137,130,1,4
105,140,1,9
102,105,1,9
144,139,4,19
144,136,6,29
112,148,1,18
112,147,1,7
137,129,22,151
137,128,23,132
137,122,2,27
600,155,5,26
137,121,23,140
600,153,1,4
600,151,12,71
151,139,9,55
151,136,40,236
151,133,11,59
144,125,9,52
112,137,2,10
137,119,2,14
137,118,53,339
137,117,8,38
105,129,35,208
105,128,5,33
137,113,67,417
137,112,4,25
137,111,1,10
600,142,9,57
105,122,1,4
105,121,4,30
147,155,2,11
147,154,1,7
151,126,8,34
151,125,11,51
147,152,34,223
200,154,1,6
200,152,4,20
720,155,1,7
200,151,1,5
144,119,1,4
200,150,4,24
112,127,1,5
600,139,16,89
137,105,7,45
105,118,3,20
105,117,5,38
600,136,81,476
137,101,41,232
154,152,257,1825
154,151,1,6
105,113,3,17
600,131,2,14
147,148,56,324
151,119,4,33
200,149,1,7
200,148,1,4
151,118,2,14
147,145,5,35
200,147,1,10
151,117,13,79
147,142,1,4
200,145,2,10
200,144,1,4
147,141,1,7
151,113,1,6
147,140,4,25
200,142,7,41
144,109,6,32
720,142,6,29
112,113,11,72
154,147,1,6
600,129,3,22
600,127,2,20
105,107,1,6
600,126,30,181
600,125,6,35
154,142,12,81
600,123,19,101
147,139,3,24
600,122,4,22
122,154,1,5
147,137,37,267
105,101,8,51
151,109,1,4
200,139,10,54
200,137,1,5
200,136,24,150
720,139,2,13
200,134,8,48
147,130,1,5
200,133,2,9
720,136,12,58
151,101,2,14
154,139,20,130
112,101,4,16
600,119,5,35
154,136,2,10
600,118,8,57
600,117,32,203
154,134,2,14
122,148,16,94
147,129,210,1249
147,128,116,681
147,127,1,8
147,126,2,9
200,129,5,46
147,125,2,13
200,126,4,26
147,122,5,23
200,125,6,31
147,121,89,527
147,120,3,14
200,123,2,8
720,126,1,6
200,122,5,27
720,125,2,8
200,121,1,6
720,124,1,5
720,123,2,11
154,129,10,59
600,109,1,6
154,125,1,9
154,124,2,26
600,106,4,20
154,123,1,6
122,136,2,10
154,121,8,57
122,135,1,6
154,120,2,10
147,119,4,33
147,118,17,108
147,117,75,451
147,116,1,10
200,119,3,15
200,118,3,33
200,117,12,65
147,113,24,153
147,111,1,8
720,117,1,5
147,110,1,5
200,113,2,10
200,110,1,6
154,119,1,8
154,118,10,58
154,117,1,4
122,129,4,28
118,155,5,27
122,128,9,54
118,154,3,16
118,153,2,12
118,152,7,61
122,121,4,30
147,105,125,739
200,107,1,10
720,109,2,11
147,102,1,5
147,101,65,379
125,155,4,28
125,154,1,6
125,151,6,35
118,148,2,25
118,147,11,86
122,118,2,10
122,117,1,4
118,142,14,101
118,141,1,6
122,113,1,6
125,144,8,47
125,142,9,46
118,139,93,541
118,137,15,122
118,136,5,42
1002,155,1,6
122,107,1,4
122,105,5,28
118,131,2,8
122,101,2,9
125,139,16,87
100,154,1,7
100,152,4,24
100,151,1,4
125,136,16,89
125,134,1,9
125,133,10,44
118,129,121,773
118,128,6,29
118,127,1,8
118,126,8,54
118,125,1,9
118,123,1,4
118,122,1,6
118,121,62,405
118,120,1,5
100,148,1,4
100,147,3,18
125,129,1,7
125,128,2,14
100,142,3,18
125,126,4,24
895,125,1,6
125,123,9,51
118,119,87,547
118,117,154,906
118,116,1,5
118,113,2,12
118,110,6,35
100,139,4,24
100,136,4,35
100,134,1,5
125,119,2,9
125,118,5,27
125,117,13,77
118,109,1,5
118,105,7,47
118,102,1,11
128,148,56,317
128,147,30,176
1898,136,1,9
128,145,7,42
100,129,2,10
128,141,1,6
128,140,1,4
100,126,2,12
100,125,1,5
125,109,14,79
100,123,1,4
100,122,2,13
100,121,2,14
142,156,1,9
142,155,7,51
142,154,11,56
142,152,19,117
142,151,1,6
128,139,1,5
128,137,1,5
128,136,1,4
100,118,2,13
100,117,5,37
100,113,2,19
142,147,3,23
100,110,2,11
142,145,1,10
142,144,1,7
110,155,1,4
128,129,3,19
128,126,1,10
128,123,1,5
100,109,1,4
128,122,34,228
128,121,3,15
142,139,227,1386
100,101,2,8
142,136,50,297
743,155,2,8
142,134,22,119
142,131,2,10
743,150,1,4
110,142,7,43
110,140,1,8
135,122,2,8
128,118,3,18
128,117,6,36
128,113,8,51
142,129,6,38
142,126,14,74
142,125,3,18
110,139,11,61
142,124,17,94
110,136,2,8
711,155,1,5
142,121,3,12
110,135,1,6
110,134,1,6
135,110,1,7
128,106,1,4
128,105,18,121
128,101,34,215
145,152,4,34
142,119,17,99
743,139,2,13
142,118,68,427
743,137,1,4
142,117,52,333
110,124,3,14
142,110,6,31
152,154,261,1786
152,153,1,7
152,151,3,23
145,148,1,7
145,147,16,90
113,152,1,9
142,109,3,22
110,118,5,40
142,104,1,7
110,117,2,14
142,101,1,5
152,148,3,12
152,147,48,277
152,145,2,11
152,142,9,67
145,139,1,5
152,140,1,5
145,137,21,123
113,148,9,55
113,147,12,60
113,145,21,111
113,144,1,5
113,142,2,14
113,140,10,48
106,139,2,15
106,136,1,4
152,139,68,441
152,137,31,199
152,134,1,17
145,129,1,5
120,144,1,4
145,128,26,164
145,127,1,5
120,140,1,4
113,139,1,4
145,124,1,7
145,123,1,4
113,137,24,157
145,121,2,14
106,129,1,4
106,122,2,8
152,129,71,402
152,128,10,47
152,126,1,4
148,152,1,5
152,124,6,31
152,121,78,454
145,118,2,15
922,112,2,10
113,129,11,67
109,155,3,12
113,128,47,293
145,113,75,439
145,112,6,32
109,151,5,42
109,150,1,5
113,122,2,11
155,153,1,4
148,147,7,39
152,119,7,44
148,145,1,8
152,118,43,290
152,117,23,135
120,129,2,10
148,141,1,6
721,148,1,7
148,140,1,12
152,113,2,15
152,111,1,6
922,101,1,6
109,148,1,9
109,147,2,11
120,121,4,41
145,105,1,7
721,140,2,15
113,118,2,16
630,154,2,12
109,144,6,33
113,117,2,17
630,152,1,9
109,142,2,8
145,101,75,469
113,112,29,171
113,110,1,8
148,137,1,4
123,152,1,6
152,105,3,18
120,118,2,12
120,117,1,5
152,101,7,40
109,139,13,65
113,109,2,11
630,145,1,8
109,136,18,106
109,134,2,8
109,133,2,10
113,105,9,48
155,139,7,34
113,101,198,1267
155,136,10,52
155,134,1,13
148,129,4,25
148,128,2,10
148,125,1,6
148,122,4,25
148,121,3,20
109,129,1,5
109,126,2,12
109,125,15,90
155,127,1,4
123,139,4,23
155,123,1,4
123,136,5,27
123,133,8,48
148,117,4,28
148,113,1,7
109,118,1,5
109,117,8,39
130,139,2,12
109,113,2,21
155,119,3,24
155,117,4,27
119,155,3,31
123,127,1,6
119,154,2,16
119,152,3,24
123,125,7,32
148,105,5,32
116,118,2,11
148,101,6,38
721,101,1,4
130,129,1,4
126,155,5,28
126,152,1,5
155,107,1,5
119,147,1,6
123,119,2,8
123,118,2,10
123,117,8,50
155,101,1,6
119,142,3,17
119,140,1,24
123,112,1,5
133,155,1,6
133,152,1,11
133,151,14,76
126,147,1,4
126,142,3,21
119,139,11,66
119,136,3,16
133,142,4,19
126,139,15,99
101,152,5,51
126,136,24,139
119,129,24,155
119,128,1,7
119,126,1,6
3,129,1,12
119,125,1,8
140,147,3,24
119,121,3,25
3,121,1,4
133,137,1,7
133,136,7,38
101,148,35,228
101,147,44,272
101,145,23,171
126,129,2,20
126,128,1,4
126,127,1,7
126,125,3,19
101,140,1,11
126,123,2,8
126,121,1,9
119,118,19,141
119,117,19,114
140,137,1,5
119,110,1,5
129,155,1,6
129,154,2,11
