origState,destState,familycnt,personcnt
117,151,3,18
117,150,1,7
121,122,2,12
121,120,22,139
715,136,1,5
877,105,1,5
2011,121,1,7
156,141,1,4
670,148,11,61
124,154,9,58
124,152,4,23
117,148,30,170
670,142,6,30
117,147,9,56
153,106,2,9
117,146,2,16
121,119,1,6
153,104,1,7
121,118,50,294
121,117,27,166
117,142,10,72
117,141,6,52
121,113,4,27
117,140,4,32
121,112,1,6
715,129,1,9
715,125,1,8
131,156,1,4
131,155,4,24
156,139,1,4
715,122,2,10
131,152,1,4
131,150,4,33
124,147,1,4
156,131,2,12
670,139,20,102
156,130,1,5
670,136,5,23
124,142,18,90
670,134,2,11
117,139,31,182
117,137,4,26
670,131,6,37
117,136,7,43
670,130,1,7
117,134,1,5
121,107,4,28
117,133,2,11
121,106,3,20
121,105,22,123
117,131,78,435
117,130,1,4
121,101,3,18
131,148,5,27
715,117,2,9
131,146,1,4
156,129,1,4
131,142,3,13
124,139,5,31
124,137,1,4
124,136,2,8
670,129,3,16
124,134,2,10
156,120,4,25
670,127,16,82
670,126,18,113
670,124,3,13
117,129,173,994
117,128,1,5
117,127,13,73
117,126,15,74
670,120,2,10
117,125,3,18
117,124,1,5
117,123,3,18
117,122,1,4
117,121,21,142
117,120,224,1278
715,109,2,8
131,139,3,14
131,136,1,5
732,155,4,20
732,150,1,6
131,130,1,4
124,129,2,8
124,127,1,4
124,125,1,8
670,119,6,27
670,118,5,24
670,117,20,104
117,119,175,985
117,118,61,394
117,116,1,5
117,113,1,6
117,112,1,4
127,158,2,14
127,156,1,5
131,129,6,29
127,155,19,109
131,127,5,33
732,146,2,13
127,153,1,4
131,126,3,18
127,152,3,22
127,150,1,8
156,107,1,4
732,141,1,4
124,119,1,4
131,120,22,154
124,118,2,13
124,117,6,40
670,109,3,16
670,106,1,8
124,111,3,19
124,110,4,25
117,107,14,84
670,101,1,4
117,106,10,50
117,105,30,189
134,155,3,17
134,152,1,5
117,101,2,9
134,151,1,10
127,148,3,16
127,146,2,13
131,119,35,215
131,118,3,12
1872,150,1,6
131,117,21,114
127,142,1,8
732,134,1,5
124,102,1,5
141,153,30,165
134,142,15,74
127,139,1,4
127,136,7,36
732,127,9,49
