origState,destState,familycnt,personcnt
117,151,1,4
121,124,3,18
121,122,3,16
121,120,1,8
715,139,6,30
715,136,8,61
156,147,1,6
124,154,3,18
124,152,11,53
670,143,1,5
117,148,5,49
117,147,39,252
670,142,15,85
813,125,2,10
121,119,2,10
117,145,1,4
121,118,207,1188
121,117,133,799
117,142,6,46
117,141,1,4
121,113,2,9
121,110,1,5
715,124,1,9
124,147,4,22
670,139,12,68
670,137,1,4
670,136,7,35
124,142,14,97
117,139,17,105
117,137,5,26
117,136,11,63
117,133,2,10
121,105,11,75
121,101,8,46
715,118,1,4
715,117,4,17
124,139,40,233
124,136,1,5
670,129,5,28
670,128,1,4
670,126,1,5
670,124,7,45
117,129,48,278
117,128,2,10
670,122,2,13
670,121,1,5
117,126,1,8
1,129,1,4
117,125,2,17
117,121,47,268
715,109,1,9
131,136,1,10
124,129,5,21
670,119,2,9
670,118,2,9
124,122,1,10
124,121,2,12
117,119,16,123
117,118,32,192
124,119,1,4
124,118,3,16
124,117,5,33
124,111,1,4
670,105,1,4
124,110,1,5
117,109,1,6
117,106,1,4
117,105,34,208
134,152,2,10
117,101,1,4
131,118,1,4
131,117,1,6
124,109,1,4
141,152,1,4
134,142,16,95
127,139,1,4
141,147,1,8
134,139,36,220
134,136,20,118
102,148,1,9
127,126,1,4
732,118,2,12
134,126,3,16
137,152,35,228
134,119,2,10
134,118,7,34
134,117,3,28
144,155,1,9
144,153,2,10
137,148,4,19
137,147,147,892
137,145,18,100
742,136,3,17
742,134,1,4
105,152,1,5
151,155,2,10
703,136,1,6
151,152,2,11
137,139,5,26
137,134,1,5
105,148,4,21
105,147,8,55
151,142,1,6
102,105,4,23
144,136,5,31
112,148,3,18
112,145,2,10
137,129,18,130
137,128,10,56
600,155,2,10
137,121,29,196
600,151,14,81
151,139,16,114
151,136,61,366
151,134,1,4
151,133,9,50
144,125,6,37
112,137,1,5
137,119,1,5
137,118,108,674
137,117,24,165
105,129,10,81
105,128,5,25
137,113,70,431
137,112,4,17
137,110,1,5
600,142,1,6
105,122,2,9
105,121,4,29
147,155,1,4
151,126,6,42
151,125,7,42
147,152,44,299
151,123,1,5
200,152,2,13
200,151,1,5
745,138,1,7
720,152,1,5
112,129,1,16
144,113,2,8
600,139,13,81
137,105,2,10
706,139,1,4
105,118,2,13
105,117,3,19
600,136,30,164
137,101,43,269
154,152,189,1206
600,133,2,12
105,113,2,14
147,148,17,90
151,119,1,6
151,118,1,4
147,145,5,30
151,117,4,27
200,147,3,23
147,142,2,13
200,145,3,17
147,141,3,14
200,144,1,6
720,147,2,18
147,140,7,65
200,142,18,120
151,110,1,4
144,109,10,54
720,142,8,35
112,113,16,100
600,127,1,6
600,126,8,37
600,124,1,6
154,142,4,18
600,123,17,110
147,139,5,23
600,122,3,19
105,102,1,4
600,121,1,4
105,101,1,7
147,137,40,210
122,152,1,11
151,109,2,11
200,139,17,89
151,107,1,6
200,137,1,4
200,136,34,165
720,139,3,12
200,134,7,34
720,136,6,30
720,134,1,4
154,139,34,231
600,119,1,5
112,101,8,53
154,136,1,5
600,118,2,9
600,117,3,13
154,134,2,13
122,148,15,85
122,145,2,10
147,129,120,742
600,112,1,10
147,128,43,256
200,129,1,5
147,124,1,4
200,127,1,8
200,126,1,10
720,129,1,6
147,122,1,5
200,125,7,44
147,121,93,541
200,124,2,8
200,123,3,25
720,125,1,4
200,121,5,24
720,124,1,5
720,123,1,9
720,120,1,4
154,129,1,5
600,109,1,7
600,106,1,8
154,121,18,129
122,135,2,10
147,118,57,365
147,117,104,661
807,136,1,7
200,118,5,23
200,117,5,29
147,113,33,195
147,111,1,4
200,110,1,8
720,113,1,10
154,119,1,4
154,118,12,64
154,117,4,34
118,155,2,9
122,128,10,65
118,154,3,14
118,153,1,6
118,152,13,90
147,106,1,5
200,109,1,7
122,121,1,9
147,105,79,517
200,106,1,5
147,101,92,571
200,101,1,4
125,151,9,39
118,148,1,4
154,107,1,8
118,147,20,141
154,105,1,5
118,145,1,4
122,117,2,8
118,142,9,51
122,113,3,16
1824,152,1,10
125,144,2,8
125,142,7,45
125,141,1,4
118,139,78,506
118,137,23,195
118,136,4,25
118,134,2,8
122,105,1,4
2,136,1,5
122,101,1,10
125,139,23,121
100,152,2,13
125,136,32,208
100,151,1,5
125,134,1,5
125,133,14,80
118,129,24,152
118,128,3,16
118,126,7,56
118,125,1,11
118,124,3,20
118,123,2,8
118,122,1,7
118,121,72,458
824,142,1,5
100,147,3,23
100,145,1,6
895,129,1,5
100,142,5,36
