origState,destState,familycnt,personcnt
117,151,1,5
121,124,2,10
117,150,1,13
121,122,1,4
1838,101,1,12
715,139,6,34
121,120,1,13
715,136,2,9
715,134,1,7
124,154,6,58
124,152,4,16
117,148,13,90
117,147,21,134
670,142,14,74
121,119,8,54
117,145,2,8
121,118,155,918
121,117,118,720
117,142,6,51
121,113,1,5
715,129,2,14
715,122,1,5
670,139,34,195
1862,147,1,4
670,136,9,50
124,142,16,88
117,139,37,227
670,134,1,4
117,137,4,20
117,136,13,99
1,139,2,10
117,134,1,5
117,133,1,9
121,105,25,150
121,101,11,55
715,117,1,5
124,139,23,124
670,129,12,63
670,126,1,4
670,124,3,13
117,129,100,660
117,128,4,23
117,127,1,5
670,122,1,4
670,121,1,4
1,129,1,4
117,125,2,9
117,124,1,8
117,122,2,11
117,121,23,160
117,120,2,9
131,136,1,4
124,129,3,20
670,119,1,4
670,118,8,43
670,117,8,45
124,121,2,11
117,119,65,419
117,118,56,355
117,113,1,5
732,142,1,4
124,118,7,40
124,117,6,46
124,111,3,13
117,109,1,6
117,105,20,126
134,154,1,4
134,152,1,6
117,101,1,5
134,142,11,68
127,136,1,4
141,147,2,12
911,139,1,5
134,139,18,94
134,136,23,116
134,133,2,8
127,129,1,12
127,126,1,4
732,117,5,38
141,136,1,6
134,125,1,5
134,124,2,9
102,137,1,9
134,121,1,4
137,157,2,8
137,156,1,11
141,128,1,8
137,154,5,25
137,152,31,191
134,119,1,4
134,118,10,59
134,117,6,44
134,110,1,4
144,151,2,10
137,148,3,18
137,147,120,691
141,118,1,5
137,145,19,110
907,136,1,7
137,142,1,7
137,140,1,4
105,152,1,5
151,155,6,32
151,154,1,5
151,152,1,11
144,142,1,4
137,139,5,43
105,148,14,77
137,133,2,10
105,147,22,163
907,125,3,26
105,145,3,17
742,123,1,6
141,102,1,6
105,142,1,6
105,140,2,10
151,147,1,12
151,142,3,12
144,139,3,15
144,137,1,6
102,101,1,4
144,136,3,21
112,148,2,11
112,145,1,7
137,129,24,160
137,128,19,95
137,124,1,4
105,137,3,15
600,155,4,21
137,121,28,179
600,152,1,4
600,151,17,91
151,139,18,106
151,136,37,223
151,133,13,86
112,139,2,9
144,125,6,31
112,137,1,4
112,136,1,6
137,119,2,13
137,118,56,352
137,117,10,60
105,129,21,167
105,128,3,22
137,113,61,389
600,142,5,32
105,121,3,26
151,126,13,72
200,155,1,4
151,125,6,29
147,152,31,184
200,154,4,22
147,150,1,7
151,123,2,9
200,152,1,6
200,151,1,4
144,119,1,6
144,117,2,13
720,151,2,12
112,128,1,5
112,123,1,5
112,122,1,4
137,106,2,18
600,139,16,115
137,105,6,31
105,119,1,5
154,155,1,5
105,118,6,42
105,117,3,30
706,137,1,6
600,136,59,351
137,102,1,6
600,134,1,5
1850,121,1,4
137,101,53,308
154,152,202,1380
154,151,1,4
600,133,3,15
105,113,3,18
147,148,38,226
151,118,4,20
147,145,3,15
151,117,16,95
200,147,2,14
147,142,7,45
200,145,1,4
115,154,1,5
147,140,5,31
200,142,11,69
144,109,6,42
720,142,8,46
112,113,10,70
154,147,2,15
600,129,10,76
600,127,3,23
600,126,23,150
154,142,4,19
600,123,14,68
147,139,5,35
600,122,3,13
600,120,1,6
105,101,5,28
147,137,39,298
151,109,1,5
147,136,2,9
200,139,7,47
200,137,1,7
200,136,25,150
720,139,2,13
147,131,1,12
200,134,2,12
720,136,6,28
720,133,1,5
154,139,23,143
112,101,3,15
600,119,2,9
154,136,4,20
600,118,12,69
600,117,33,217
122,148,19,95
122,147,2,8
122,145,1,4
147,129,202,1319
147,128,155,973
147,126,1,5
200,129,1,15
200,126,1,5
147,122,2,8
200,125,6,38
147,121,107,675
200,124,1,5
200,123,1,4
200,122,2,10
720,125,1,4
200,121,1,5
720,124,1,4
108,129,1,4
720,121,1,4
154,129,2,11
600,107,1,10
600,106,9,76
154,124,1,6
122,136,1,8
154,121,7,31
147,119,5,22
147,118,26,164
600,101,1,4
147,117,87,534
200,118,3,16
200,117,7,42
200,116,1,6
147,113,31,173
720,118,3,12
720,117,2,9
147,110,1,7
200,113,2,11
200,110,1,5
720,111,1,4
154,119,3,22
154,118,10,58
154,117,3,15
118,155,4,19
122,128,8,59
118,154,2,11
118,153,1,4
118,152,14,88
154,110,1,10
118,150,1,6
147,105,101,623
200,106,1,4
147,102,1,6
147,101,99,612
125,151,14,81
118,148,4,27
118,147,8,57
118,145,1,5
122,118,1,4
122,117,1,4
154,101,1,13
118,142,13,74
118,141,1,5
118,140,1,5
122,113,1,4
895,147,1,5
125,144,11,49
125,142,8,48
118,139,87,546
118,137,15,125
118,136,3,13
122,105,2,8
2,136,1,7
122,101,3,19
125,139,12,82
100,152,3,19
125,136,41,239
125,133,18,108
118,129,101,632
125,130,1,9
118,128,1,4
118,126,8,43
118,125,2,8
118,124,4,25
118,121,46,289
118,120,3,14
100,147,8,49
125,129,4,16
125,128,3,14
100,142,4,21
125,126,9,45
100,140,4,35
125,124,1,8
125,123,14,72
118,119,68,435
118,117,129,777
118,113,1,7
118,110,1,4
128,152,2,14
100,139,3,15
100,137,1,9
100,136,4,26
726,139,1,8
125,119,2,11
100,133,1,6
125,117,13,71
125,113,1,4
125,112,4,27
118,109,1,6
118,107,2,12
118,106,1,9
118,105,3,21
856,117,1,6
128,148,31,169
128,147,15,80
128,145,8,46
100,128,1,9
128,140,2,16
125,109,16,86
100,123,1,8
142,155,8,43
142,154,11,73
142,152,19,128
1002,113,1,5
128,137,6,31
100,118,4,37
100,117,2,12
100,113,1,5
142,147,1,4
142,144,1,9
110,155,1,4
142,140,1,4
128,129,3,22
128,125,1,5
128,122,20,113
100,109,2,12
128,121,6,31
142,139,239,1446
142,136,37,210
743,155,1,6
142,134,9,49
110,147,1,12
110,142,4,19
135,121,1,4
128,119,1,6
128,118,1,4
128,113,5,35
142,129,15,85
142,126,22,125
142,125,4,25
110,139,13,83
142,124,18,110
142,123,1,5
142,122,1,4
142,121,3,23
110,135,1,4
110,134,1,5
128,109,1,4
135,110,1,5
145,157,1,6
128,105,10,64
145,154,1,6
128,101,38,246
145,152,1,5
142,119,17,100
743,139,5,37
142,118,55,375
142,117,53,307
743,134,1,4
110,124,2,8
142,110,9,73
110,121,2,15
152,154,259,1744
152,153,1,12
152,151,1,13
145,148,3,24
145,147,13,71
145,142,1,8
113,152,8,62
142,109,3,30
106,148,2,10
142,107,1,4
110,118,6,41
110,117,6,29
152,147,54,337
1837,139,1,7
152,144,1,4
152,142,9,47
152,141,1,4
152,140,1,6
145,139,1,10
145,137,11,67
113,148,7,61
113,147,13,85
113,145,40,270
743,118,1,4
106,139,1,5
113,140,16,100
110,109,1,6
743,111,1,6
152,139,105,614
152,137,31,180
152,136,1,7
152,134,1,7
120,148,2,9
152,130,1,8
145,129,2,14
145,128,27,162
113,139,2,14
113,137,28,196
145,122,3,14
113,136,2,14
145,121,2,10
743,109,1,5
106,129,1,8
152,129,69,396
152,128,6,29
152,126,1,6
152,125,1,6
120,139,4,34
152,124,4,23
152,122,1,4
152,121,94,577
145,118,7,42
145,117,1,6
113,129,1,4
109,155,2,14
113,128,19,130
109,154,1,14
145,113,113,690
113,127,1,5
145,112,3,19
109,151,3,20
113,123,1,4
113,122,6,37
113,121,3,14
106,118,1,5
148,147,7,44
152,119,6,47
148,145,1,6
152,118,57,320
152,117,35,193
120,129,2,23
152,113,2,12
152,111,2,11
152,110,1,5
145,106,1,4
120,121,1,7
109,147,1,6
145,105,1,5
721,140,1,7
630,154,1,4
113,118,2,15
630,153,1,4
109,144,4,20
113,117,5,30
109,142,3,13
145,101,91,611
113,112,21,118
113,110,1,10
155,142,2,11
123,155,1,5
148,139,1,8
123,154,1,5
123,151,1,5
120,119,2,8
120,118,2,12
721,137,1,5
120,117,4,28
152,101,10,71
109,139,11,76
113,109,1,8
109,136,24,137
109,134,1,7
113,105,4,21
155,139,3,24
130,152,1,8
113,101,193,1196
155,136,13,69
148,129,5,26
123,144,2,12
148,128,5,26
123,142,3,15
148,122,9,54
109,129,1,7
109,126,7,40
109,125,10,47
130,147,1,10
109,123,1,5
109,122,2,8
130,142,1,6
155,126,2,14
123,139,4,24
123,136,8,49
123,133,6,33
148,117,1,6
148,113,3,20
109,119,1,5
109,118,2,10
109,117,5,24
721,110,1,8
130,139,2,17
109,112,1,5
155,119,2,24
155,118,1,6
155,117,6,37
123,129,3,16
123,128,1,5
119,154,2,11
119,153,1,5
123,126,2,22
123,125,9,46
148,105,4,35
148,101,2,14
126,155,13,71
126,153,1,5
109,101,1,4
119,148,1,4
119,147,1,9
123,119,1,5
123,118,1,5
123,117,2,13
119,142,3,19
133,155,1,4
133,151,8,36
126,148,2,9
130,117,1,4
126,142,2,9
119,139,19,109
119,137,1,4
119,136,3,18
123,107,1,5
133,142,1,4
126,139,11,82
101,152,3,27
126,136,20,136
126,134,1,5
119,129,14,84
119,127,1,4
119,126,2,8
3,129,1,10
140,148,3,17
140,147,1,7
119,121,5,31
133,139,12,79
133,136,9,54
101,148,38,250
101,147,61,355
101,145,14,108
126,129,1,8
126,128,1,13
126,127,1,4
126,125,1,4
126,122,1,7
119,118,25,175
119,117,14,83
129,155,1,5
129,154,1,4
133,126,2,12
129,152,18,111
101,139,1,9
133,125,20,107
101,137,11,71
133,123,14,82
126,119,4,22
126,118,11,70
126,117,14,96
136,155,22,110
140,128,1,7
136,154,5,35
140,125,1,5
136,152,1,4
136,151,26,147
136,150,1,4
741,143,1,7
129,148,13,104
129,147,25,149
650,155,2,12
133,119,1,6
133,118,1,5
133,117,6,44
129,142,3,21
101,129,12,72
129,141,2,20
101,128,189,1160
129,140,1,4
101,123,1,4
101,122,17,88
101,121,7,43
140,119,1,6
136,145,1,5
136,144,4,32
136,142,133,817
741,135,1,4
129,139,7,42
140,113,2,8
129,137,1,4
129,136,1,5
101,113,60,383
101,112,6,34
143,147,1,4
143,145,1,10
136,139,149,911
111,152,7,41
136,134,20,126
104,147,1,13
136,133,4,22
129,128,7,43
129,126,1,9
129,125,1,10
129,123,1,5
129,122,1,5
129,121,36,257
101,105,38,247
136,129,8,65
136,128,5,25
136,127,2,9
136,126,250,1441
136,125,9,50
136,124,2,11
136,122,3,15
136,121,2,11
136,120,1,5
129,119,13,79
129,118,22,151
129,117,49,400
650,124,1,6
150,139,1,13
129,113,2,11
129,112,1,11
139,155,8,63
139,154,21,150
139,153,1,6
139,152,32,190
111,139,1,4
139,150,1,11
111,136,1,4
136,119,14,80
136,118,54,306
136,117,116,706
136,116,1,5
650,119,1,5
136,111,2,11
650,117,1,5
129,107,1,7
129,106,1,15
1842,125,1,4
129,105,48,285
129,101,2,9
150,121,1,6
139,147,5,40
139,146,2,9
139,144,1,5
139,142,74,501
139,141,1,7
136,109,12,54
111,124,3,12
153,152,1,8
150,117,1,12
139,137,4,39
139,136,14,86
877,148,2,13
139,134,7,50
139,132,1,4
139,131,3,28
139,130,3,22
107,142,1,4
153,148,1,6
153,144,1,6
104,105,1,9
121,154,6,35
121,152,48,331
139,129,82,553
139,126,40,208
139,125,7,67
139,124,2,15
712,129,1,4
139,122,1,5
139,121,32,182
877,135,2,9
107,135,2,8
139,120,4,34
121,148,4,24
121,147,72,446
121,145,3,24
121,142,4,21
139,119,56,367
139,118,398,2340
139,117,224,1333
139,113,2,8
139,111,2,14
139,110,8,46
107,121,2,10
121,139,25,169
121,137,9,65
121,134,2,10
139,109,6,41
139,106,1,7
139,105,1,6
139,101,1,4
107,113,1,5
153,118,2,12
670,152,1,10
670,151,1,13
121,129,178,1088
117,155,11,61
121,128,10,63
117,154,2,20
121,127,2,8
121,126,1,8
117,152,8,44
