origState,destState,familycnt,personcnt
121,124,1,6
117,151,5,32
117,150,75,533
121,122,4,37
121,120,1,5
715,139,3,13
715,136,3,17
852,126,1,6
877,106,1,4
124,155,1,4
156,141,1,7
124,154,1,4
670,148,20,115
124,152,28,126
670,144,1,4
117,148,18,101
117,147,16,131
670,142,19,107
813,125,2,11
670,141,1,4
121,119,11,84
117,145,1,7
121,118,66,364
121,117,68,409
117,142,17,150
117,141,20,127
117,140,1,4
121,113,1,5
715,129,2,13
715,126,2,11
131,156,1,4
131,150,36,262
124,145,1,4
670,139,29,167
124,144,2,11
670,136,16,93
124,142,16,95
117,139,39,255
117,137,2,18
117,136,13,68
117,134,2,18
121,106,1,4
117,133,3,15
121,105,7,37
117,131,15,98
117,130,1,11
121,101,2,11
715,118,1,5
131,141,1,7
124,139,9,42
124,137,1,7
670,129,20,106
670,126,4,20
670,125,1,6
670,124,1,6
117,129,93,628
117,128,6,37
117,127,2,12
670,121,4,22
117,126,3,12
117,125,1,6
117,123,2,11
117,122,3,18
117,121,21,145
117,120,4,24
715,109,1,5
131,139,2,17
732,155,8,39
124,129,6,51
124,128,1,10
124,125,1,6
670,119,3,14
670,118,14,82
670,117,29,164
124,122,1,6
124,121,1,6
117,119,265,1900
117,118,65,405
117,116,1,4
117,113,3,19
117,110,1,8
131,129,7,52
732,148,1,7
131,123,2,16
124,118,3,28
124,117,8,61
670,107,1,5
124,111,4,27
124,110,7,34
670,101,1,7
117,106,8,60
117,105,11,55
134,155,2,14
134,152,3,17
117,101,2,11
131,119,15,122
131,118,3,36
131,117,4,29
127,142,1,6
141,155,2,10
141,153,1,5
134,147,1,7
936,122,1,4
134,142,21,145
127,139,2,12
127,136,2,10
131,107,1,4
732,127,1,5
131,106,2,14
865,140,1,9
141,147,2,24
134,139,4,22
134,136,12,52
102,148,1,5
127,126,1,9
732,117,1,4
141,136,2,11
134,129,1,19
134,126,3,17
134,125,2,14
134,123,1,4
134,121,1,4
127,118,1,5
127,117,1,8
141,129,4,33
137,155,1,5
137,154,1,4
137,152,30,174
742,142,1,6
134,119,5,37
134,118,4,25
134,117,6,46
134,110,1,6
144,155,1,7
144,153,1,7
137,148,4,20
137,147,72,435
141,119,1,9
137,145,18,95
141,117,1,7
105,156,2,16
742,134,3,24
105,152,2,13
134,109,3,19
151,155,14,93
137,139,3,23
137,136,1,4
105,148,65,382
105,147,28,179
141,106,1,5
742,123,1,5
151,144,1,4
102,105,1,5
151,142,2,12
144,139,2,18
144,137,1,6
144,136,3,19
112,145,1,7
137,129,16,90
137,128,19,102
600,158,2,10
742,118,1,10
105,139,3,18
742,117,2,9
600,155,12,65
137,121,24,120
600,151,13,79
600,150,2,14
151,139,2,13
151,136,20,125
151,133,14,79
144,125,12,56
144,123,2,15
137,119,1,16
137,118,28,189
137,117,8,37
