origState,destState,familycnt,personcnt
107,128,1,12
107,127,1,4
107,120,2,11
743,155,1,12
743,150,2,18
107,119,1,7
138,131,1,12
107,117,2,10
107,116,1,9
146,158,5,31
743,142,2,15
115,136,1,7
712,120,2,9
138,127,2,11
107,106,1,5
743,139,2,8
720,146,1,4
743,137,1,4
743,136,1,7
720,142,1,5
712,119,1,5
123,152,1,5
146,140,1,5
138,119,1,4
138,116,1,9
720,136,1,5
720,134,1,5
123,146,1,6
100,152,1,6
743,122,1,4
743,121,1,4
100,150,2,18
743,120,1,4
123,141,1,4
146,131,1,4
138,106,1,5
154,155,1,5
100,148,5,26
720,126,1,4
154,153,1,9
743,118,1,6
100,147,2,11
154,152,66,461
743,116,1,15
154,150,4,34
123,136,1,4
100,142,2,10
146,127,2,11
123,134,1,5
100,141,2,18
123,133,7,30
100,140,8,47
123,131,1,6
131,156,2,10
154,148,4,30
131,155,2,9
154,147,1,5
131,154,1,4
131,153,2,8
720,118,1,4
154,145,2,10
100,139,1,7
154,142,6,29
123,129,1,6
123,127,3,18
146,119,9,47
123,126,2,8
100,132,1,5
123,125,11,56
146,117,1,7
100,131,1,5
131,148,1,5
154,139,35,214
131,146,8,51
154,136,2,8
131,142,1,7
100,129,4,24
154,134,1,8
131,141,3,20
131,140,3,22
123,119,3,14
100,126,4,27
123,117,1,6
123,116,1,6
100,123,1,4
100,121,3,30
146,107,1,5
100,120,6,45
123,111,1,6
131,139,2,9
131,138,1,8
154,129,3,17
131,136,3,14
154,127,1,4
154,126,2,10
100,119,2,10
154,124,4,20
100,118,2,16
131,130,1,4
100,117,3,16
123,109,1,7
154,121,14,87
154,120,4,26
123,107,1,4
123,106,1,5
100,113,1,6
100,111,1,4
131,129,12,73
131,127,2,19
154,119,5,24
131,126,5,34
154,118,2,15
131,125,1,6
154,117,3,15
131,121,1,4
154,113,2,12
131,120,48,282
100,105,4,21
808,126,1,4
100,101,1,4
131,119,25,164
131,118,6,48
131,117,11,57
154,106,1,5
154,105,1,4
154,102,1,4
131,107,5,28
131,106,6,31
131,104,1,5
119,158,3,19
119,156,2,11
119,155,23,140
119,154,1,4
119,153,5,35
119,150,1,8
119,148,1,12
119,146,31,155
119,142,6,39
119,141,13,99
119,140,1,4
824,142,1,7
119,139,16,76
119,138,4,18
119,136,6,34
119,132,1,4
119,131,146,858
119,130,3,22
127,158,13,80
127,155,19,98
127,153,3,19
119,129,56,340
119,127,43,229
1,129,1,5
119,126,7,32
119,125,1,5
119,124,1,5
119,122,1,4
119,121,2,17
119,120,185,1095
127,148,1,6
127,146,36,217
104,150,11,95
127,142,1,5
127,141,2,10
119,118,12,85
119,117,50,299
119,116,1,5
732,158,1,4
119,112,2,10
732,155,6,43
119,110,2,15
732,150,1,4
158,155,1,7
104,148,1,5
127,138,23,116
127,136,2,18
127,133,1,4
127,132,1,5
127,131,11,76
127,130,2,14
119,109,1,4
119,107,14,66
119,106,9,43
119,105,4,22
732,146,4,25
824,109,2,10
732,141,1,4
158,146,18,112
135,150,2,17
104,137,1,6
127,129,4,23
104,135,4,33
127,126,4,21
127,123,1,9
127,120,8,47
135,148,4,25
732,131,1,4
158,138,1,5
104,129,1,4
158,131,1,9
127,119,18,102
127,118,1,4
127,117,7,40
104,122,1,7
127,110,1,8
732,127,6,27
112,148,3,14
112,147,5,27
112,145,1,5
732,122,1,4
732,120,1,5
158,127,1,6
104,116,1,9
158,120,1,9
127,107,6,31
127,106,2,11
127,105,1,4
732,119,2,10
732,117,1,4
135,129,1,4
112,136,2,13
112,134,1,4
135,122,1,6
135,120,1,5
104,107,1,10
104,105,3,12
120,156,2,11
120,155,6,24
120,153,6,38
112,128,1,6
112,125,1,11
112,122,1,7
158,107,2,9
112,121,1,6
120,148,11,61
120,146,3,20
120,144,1,9
120,142,10,55
120,141,13,84
120,140,9,64
112,117,1,7
135,107,5,41
112,113,12,86
135,105,1,4
135,104,5,50
151,153,1,5
151,152,2,16
120,139,23,157
120,137,2,11
120,136,3,13
120,135,1,7
120,132,1,6
120,131,31,183
112,101,8,42
151,146,1,4
120,129,100,595
120,126,5,23
120,125,1,4
120,123,2,10
120,121,10,66
151,139,1,5
151,136,4,22
151,133,5,31
120,119,48,315
120,118,28,175
120,117,36,177
120,116,4,21
120,113,1,4
143,105,1,7
120,110,1,4
151,127,1,9
151,126,2,9
151,125,7,38
120,107,20,126
120,106,12,73
120,105,17,116
151,119,4,20
151,117,2,8
736,158,2,14
736,155,1,4
736,153,1,4
151,109,2,14
151,107,2,10
736,146,15,85
139,156,3,15
139,155,10,57
139,154,56,356
139,153,2,13
139,152,5,34
139,150,1,4
736,138,1,5
116,156,2,16
139,148,5,25
139,147,2,11
139,146,2,13
116,153,4,31
736,131,5,40
116,150,23,166
139,142,20,112
139,141,3,17
139,140,2,19
736,127,1,6
116,148,1,5
116,147,1,4
139,136,5,27
736,120,4,17
139,134,1,6
116,141,2,12
139,133,1,4
139,131,24,148
147,155,1,6
147,152,10,72
139,129,31,193
116,136,2,8
139,127,12,69
139,126,34,194
139,125,9,51
139,121,13,60
139,120,88,552
721,140,8,52
147,148,92,560
124,154,5,26
147,145,1,4
124,152,9,47
147,142,2,9
116,129,1,4
147,141,2,12
147,140,4,21
139,119,29,181
139,118,66,396
139,117,23,122
139,116,1,6
116,120,1,21
139,111,1,4
139,110,5,22
124,148,2,15
101,154,1,5
147,139,3,22
101,152,1,4
147,137,19,94
124,142,17,108
116,119,1,11
147,131,1,4
116,118,1,4
116,117,1,6
139,109,1,5
139,107,5,26
139,106,4,32
139,105,3,19
139,104,1,4
155,158,2,9
200,156,1,8
200,155,1,8
721,129,1,5
200,154,1,7
200,153,1,5
200,152,1,9
101,148,85,496
155,153,2,11
101,147,19,98
155,152,2,10
200,150,12,87
124,139,1,5
721,122,3,13
124,137,1,8
147,129,32,204
124,136,1,9
147,128,9,51
101,140,6,28
147,126,1,5
147,122,2,14
147,121,43,289
147,120,7,46
116,106,1,5
116,104,4,35
200,147,2,8
155,148,1,6
200,146,2,11
155,147,1,9
155,146,20,138
132,153,1,7
200,144,2,9
101,139,4,22
200,142,21,118
721,116,1,12
132,150,7,43
101,137,2,11
155,142,3,16
147,119,2,17
147,118,2,13
147,117,6,28
147,113,7,39
124,120,2,15
147,112,1,4
147,110,1,15
200,139,12,66
1000,146,7,49
155,139,5,39
155,138,11,67
200,136,6,32
155,136,4,25
200,134,9,48
155,135,1,13
200,133,1,5
101,129,2,13
132,141,1,4
101,128,32,188
200,131,2,10
155,131,31,186
124,118,3,14
124,117,2,13
101,122,7,33
101,121,1,4
147,107,1,5
147,105,74,423
147,104,1,9
124,111,1,8
124,110,6,33
147,102,1,4
147,101,16,95
200,129,1,6
155,129,2,19
132,136,1,4
200,126,5,27
155,127,56,302
200,125,6,26
155,126,11,58
200,124,4,20
200,123,1,9
101,119,1,5
1000,131,8,48
132,131,2,13
200,122,1,11
155,123,1,4
101,117,1,6
155,122,4,32
200,120,2,11
124,109,1,9
155,120,21,119
101,113,33,197
124,106,1,5
101,112,11,77
140,155,1,5
140,154,1,5
200,119,4,23
1000,127,5,26
200,118,3,22
155,119,42,225
200,117,5,25
200,116,2,9
155,117,19,117
155,116,1,6
200,112,1,7
1000,120,9,54
132,120,2,10
200,111,2,9
101,107,1,13
155,112,1,10
200,110,2,8
101,106,1,6
101,105,39,256
140,148,14,78
140,147,2,11
140,142,1,5
132,119,2,8
132,116,1,4
200,107,2,13
200,106,1,4
155,107,3,14
200,105,1,9
155,106,2,9
155,105,1,4
200,101,2,18
140,139,2,21
140,132,1,5
140,131,1,4
132,107,2,10
132,106,7,36
132,105,1,7
132,104,3,28
140,129,13,74
140,123,1,4
140,120,11,64
140,117,3,22
140,113,1,8
140,110,1,5
140,107,1,4
140,106,1,8
140,105,6,35
725,136,1,7
128,148,69,387
128,147,14,102
105,154,1,5
105,153,1,4
128,145,1,4
733,155,2,9
105,148,96,557
105,147,17,111
105,145,2,11
128,137,2,14
105,141,3,15
105,140,28,191
136,155,7,37
136,154,1,8
136,151,8,41
136,150,1,4
128,129,1,5
105,135,1,6
128,126,1,7
128,125,1,8
105,131,1,11
128,122,21,120
128,121,2,9
128,120,1,5
136,146,2,11
113,152,1,4
136,144,4,20
136,142,31,162
105,129,71,414
105,128,5,33
105,122,3,14
105,121,7,36
128,113,2,9
105,120,8,43
128,112,1,7
113,148,35,208
113,147,6,33
136,139,8,40
733,124,2,11
136,138,2,9
113,145,10,58
136,134,21,110
113,140,5,30
136,131,19,95
105,119,1,6
105,118,2,11
105,117,2,16
105,116,4,22
128,107,2,18
105,113,5,31
128,105,34,183
128,102,1,5
128,101,23,141
144,155,1,4
733,119,1,7
733,117,2,8
144,151,1,4
113,137,11,55
136,129,3,14
136,127,16,80
113,134,1,7
136,126,24,134
136,125,8,40
136,123,1,4
136,121,1,10
136,120,9,44
105,107,1,5
105,106,1,9
105,104,3,23
105,102,4,24
105,101,5,25
121,155,1,4
121,154,15,91
121,153,3,24
121,152,19,147
113,129,4,31
113,128,1,13
136,119,10,49
136,118,4,25
136,117,9,45
113,122,2,16
113,121,1,4
136,113,3,17
136,111,1,4
121,148,35,236
121,147,40,230
144,136,4,16
121,142,1,5
121,141,2,16
121,140,1,5
113,119,1,4
113,118,2,9
113,117,1,5
136,109,12,62
136,107,4,21
136,106,6,30
113,112,23,141
136,101,1,4
152,154,65,436
121,139,17,105
152,151,1,7
121,137,5,34
144,125,5,24
121,131,4,18
113,107,3,25
113,105,29,179
113,101,83,513
152,148,3,18
152,147,11,55
152,142,2,9
121,129,52,314
152,141,1,4
121,127,3,16
121,125,4,19
121,124,1,5
121,122,2,15
121,120,20,142
144,111,3,17
152,139,7,40
152,137,23,141
152,136,2,8
152,134,1,4
152,131,3,18
121,119,2,15
121,118,28,158
121,117,22,130
121,113,1,14
121,112,1,7
706,155,2,14
152,129,6,41
152,127,1,5
152,125,1,4
152,124,10,61
152,123,1,4
152,122,1,7
152,121,24,169
152,120,8,46
121,106,2,22
121,105,25,162
121,101,2,10
109,151,2,14
109,150,1,11
152,118,5,42
152,117,3,34
152,113,2,12
152,112,1,4
152,111,3,13
109,146,1,4
109,144,2,9
152,106,1,5
152,105,1,4
152,102,1,5
152,101,1,4
706,127,1,6
706,126,1,4
109,139,1,4
109,138,1,6
109,136,7,35
706,120,1,6
109,134,1,5
109,133,1,4
109,131,1,6
117,156,2,8
117,155,17,96
117,154,2,9
117,153,3,14
117,150,1,5
109,129,1,5
109,127,2,9
109,126,2,10
109,125,9,47
117,148,23,142
117,147,2,11
117,146,6,30
117,144,3,13
117,142,3,22
117,141,11,60
117,140,4,29
706,105,1,5
109,119,2,10
109,118,1,4
109,117,2,8
109,113,1,5
600,158,2,9
745,146,2,10
600,155,8,63
600,154,2,15
600,153,2,8
600,151,5,36
148,154,1,8
600,150,2,10
148,152,5,36
117,139,13,80
148,150,1,4
117,138,3,19
117,136,7,31
117,135,2,8
117,134,1,7
117,133,1,4
117,131,122,707
117,130,2,11
600,146,4,25
600,144,3,22
148,147,18,126
600,142,2,9
125,152,1,4
600,141,1,5
125,151,4,19
148,142,1,6
148,141,1,7
117,129,119,691
148,140,27,170
117,128,1,7
117,127,17,102
117,126,11,51
117,125,2,8
117,124,1,6
117,121,7,32
117,120,198,1169
600,139,1,4
600,138,10,61
600,136,18,93
148,139,1,4
600,134,4,25
148,137,4,23
125,144,11,61
600,133,8,49
148,135,7,42
125,142,3,15
600,131,11,89
600,130,8,48
148,131,1,7
117,119,126,717
148,130,1,6
117,118,47,293
884,150,1,7
117,116,1,6
600,129,2,10
125,139,10,61
156,150,6,34
600,127,26,144
600,126,92,523
148,129,31,176
125,136,8,40
600,125,29,180
148,128,13,66
125,134,1,4
600,123,8,47
125,133,9,45
600,122,5,27
102,140,1,5
148,125,1,4
600,120,9,68
148,122,17,114
148,121,8,52
148,120,6,38
117,107,7,39
117,106,12,64
117,105,17,107
117,104,1,6
117,101,1,5
630,154,6,37
630,153,3,23
133,151,4,17
600,119,3,17
156,142,1,5
125,129,1,6
600,118,2,10
600,117,6,42
125,127,1,12
148,119,4,18
125,126,1,4
148,118,5,30
148,117,11,62
125,123,6,25
148,113,13,106
125,120,2,13
148,112,3,25
830,124,1,4
156,136,1,5
102,129,1,4
102,128,2,10
600,109,4,26
125,119,2,12
156,131,1,4
125,118,2,11
600,107,4,25
125,117,2,18
600,106,7,53
600,105,1,4
148,107,3,17
148,106,7,33
125,113,1,6
148,105,65,395
125,112,1,5
148,104,1,7
884,125,1,4
148,101,20,130
133,136,2,8
156,129,1,5
110,142,2,11
125,109,5,23
125,107,1,9
125,106,3,15
141,155,1,9
141,153,42,302
141,152,1,6
110,139,4,26
133,125,19,105
133,123,4,20
156,116,1,5
133,120,1,4
102,105,6,50
141,142,1,5
141,140,2,15
110,126,2,13
133,118,1,4
110,124,1,5
133,112,1,4
110,119,2,8
141,131,1,8
110,118,2,12
141,130,2,11
133,109,2,8
133,106,1,5
110,113,1,7
141,129,4,27
141,121,1,7
141,120,3,18
141,119,3,24
141,116,8,53
718,120,1,8
141,106,14,77
141,105,1,6
141,104,1,9
141,101,1,6
129,156,1,4
129,155,2,11
129,154,5,27
129,153,12,77
3,129,1,5
3,121,1,6
703,148,2,13
129,148,55,321
106,155,2,11
129,147,14,93
129,146,2,11
106,153,22,139
129,145,1,5
129,142,3,29
129,141,14,86
129,140,9,56
106,148,4,30
129,139,9,52
129,137,2,10
129,136,1,5
129,135,1,4
129,134,2,10
106,141,26,160
106,140,1,5
129,131,31,172
129,130,6,31
711,155,3,17
857,125,1,6
137,155,1,12
703,127,8,41
137,154,1,4
137,152,31,193
106,139,1,10
106,137,1,6
106,136,4,20
129,128,3,19
106,135,1,7
129,127,2,15
129,126,3,14
1879,119,2,14
106,132,4,21
865,147,1,6
129,124,1,6
106,131,4,19
106,130,1,5
129,122,1,8
129,121,15,92
129,120,182,1074
137,148,12,83
137,147,21,133
137,145,24,143
703,117,1,4
137,142,2,15
106,129,8,62
137,140,1,4
106,127,1,4
129,119,47,281
129,118,14,98
106,125,3,14
129,117,43,241
129,116,5,36
129,113,1,4
106,120,5,30
742,150,2,14
711,131,1,4
137,136,2,13
106,119,3,15
106,118,2,13
106,117,4,21
106,116,2,15
106,115,1,4
129,107,26,146
129,106,16,95
129,105,77,470
129,104,1,4
129,102,1,6
711,127,2,13
145,154,1,4
137,129,3,18
137,125,1,4
137,121,5,37
137,120,2,15
106,107,3,14
106,104,3,21
742,136,1,10
742,134,1,4
145,148,2,9
122,155,1,7
742,131,1,4
711,117,1,4
137,119,2,14
137,118,1,7
137,117,3,18
137,113,17,105
137,112,1,9
742,129,1,4
742,127,9,52
122,148,35,213
122,147,1,5
145,137,24,147
742,120,1,5
122,140,1,14
137,107,2,13
137,106,1,5
137,105,3,18
137,101,2,13
153,155,4,19
