origState,destState,familycnt,personcnt
117,137,3,28
125,134,4,19
109,139,17,97
125,133,15,90
134,118,1,7
142,113,1,4
109,136,112,627
109,134,1,4
142,110,4,27
109,133,2,18
118,117,3,18
134,110,1,5
118,113,1,6
140,147,1,5
124,147,2,8
833,142,1,4
124,142,40,276
133,125,9,50
141,121,2,16
133,123,19,116
133,121,1,11
125,123,22,144
134,109,1,4
117,124,1,12
125,121,1,4
109,125,18,114
117,121,10,67
109,123,1,5
123,155,1,6
140,137,2,10
123,151,1,8
124,139,48,305
124,137,2,8
124,136,1,4
125,112,1,8
109,110,1,8
3,124,1,21
133,109,2,14
124,121,25,166
125,109,10,62
125,106,1,7
600,155,1,5
130,152,3,24
117,101,1,4
600,151,9,73
123,139,1,5
807,155,1,7
123,137,1,5
123,136,2,10
123,133,8,56
140,113,3,16
124,118,2,14
124,113,1,4
124,111,1,5
124,110,1,4
122,149,1,14
600,145,1,8
130,142,1,7
122,145,2,12
600,142,4,20
106,145,1,4
123,125,11,58
140,101,1,5
121,154,4,30
121,152,122,996
113,154,1,7
600,139,3,20
600,138,1,5
113,152,10,75
130,134,1,7
122,136,2,8
600,136,22,167
600,134,1,4
600,133,1,4
807,139,1,8
106,137,1,7
877,135,1,7
121,148,2,10
121,147,70,423
121,145,21,161
113,147,51,295
113,145,37,235
121,142,10,95
105,147,2,13
122,129,1,8
600,129,1,6
113,142,2,13
122,128,4,26
113,140,3,17
600,126,3,15
600,123,5,29
600,122,3,31
877,122,1,5
728,136,1,6
121,139,52,349
121,137,44,298
113,139,9,78
113,137,34,203
121,130,1,10
600,118,1,8
743,142,2,11
121,129,20,127
121,128,4,23
113,129,3,29
113,128,16,100
121,124,7,47
121,122,1,6
113,122,4,26
113,121,10,64
600,106,3,26
105,121,1,6
877,106,1,6
111,152,1,8
121,118,42,307
121,117,20,126
113,119,1,7
113,118,1,7
113,117,2,13
121,113,6,37
113,112,2,14
113,110,1,10
743,122,2,14
121,107,1,4
157,145,2,13
113,109,1,10
121,105,1,8
742,134,1,5
113,105,1,4
121,101,6,39
113,101,20,124
110,154,1,12
157,137,1,5
