origState,destState,familycnt,personcnt
142,117,4,24
125,134,1,9
117,137,2,19
125,133,12,81
109,139,24,146
117,136,3,17
134,118,6,41
630,154,1,11
134,117,6,33
109,137,1,7
117,134,1,8
142,113,1,5
109,136,69,378
126,118,2,12
109,134,1,7
142,110,8,48
118,117,9,64
134,110,2,21
118,113,1,6
140,147,5,36
3,145,1,4
118,110,2,11
124,147,2,10
124,142,22,124
133,125,20,149
125,127,1,4
125,126,1,8
142,109,1,4
117,129,9,44
133,123,6,35
142,107,1,6
125,124,4,29
109,129,1,9
117,126,1,5
125,123,10,58
117,125,1,5
109,126,3,15
109,125,13,88
117,121,13,95
118,109,1,4
109,123,2,15
123,154,2,9
123,152,2,9
123,151,4,21
132,136,1,11
124,139,35,227
124,137,2,16
124,136,1,4
124,134,1,6
116,136,1,10
133,118,2,8
125,118,2,9
117,118,11,64
109,118,5,34
109,117,1,7
917,109,1,4
117,113,2,10
140,128,1,7
123,144,1,4
123,142,3,21
124,125,1,4
124,121,6,28
125,109,5,31
125,106,1,6
117,105,5,54
130,152,3,27
600,154,1,4
600,152,1,4
600,151,5,28
123,139,8,55
123,136,7,41
123,133,9,45
107,136,1,4
124,118,6,61
124,111,3,20
124,110,3,15
130,145,1,17
122,147,2,10
600,146,4,17
600,142,4,19
123,127,3,24
123,126,1,11
123,125,13,77
140,105,2,13
123,121,2,12
140,101,3,18
121,154,4,25
121,153,1,4
121,152,59,402
130,136,1,5
600,139,1,6
113,152,3,25
122,137,2,11
130,134,2,9
600,136,17,102
105,152,1,12
122,135,1,5
922,129,1,12
600,134,2,8
106,137,3,16
123,118,2,11
107,118,1,13
107,113,1,4
121,148,2,9
121,147,100,652
113,148,1,8
121,145,8,56
113,147,41,256
113,145,34,221
121,142,6,47
105,147,5,34
122,128,9,63
600,127,1,4
113,140,3,24
600,126,4,23
122,124,1,4
600,123,7,35
600,122,5,35
123,109,1,6
877,122,1,10
121,139,45,304
121,137,25,164
113,139,4,24
121,136,3,14
113,137,21,150
113,136,1,9
105,137,1,6
113,133,1,4
122,118,1,4
600,117,1,4
122,113,6,36
743,142,3,13
122,110,1,4
121,129,126,787
121,128,1,4
113,128,20,158
121,124,4,41
121,123,2,14
105,129,4,35
743,139,1,4
600,109,4,22
113,122,1,6
113,121,5,38
600,106,5,46
1859,152,1,4
105,121,1,5
122,101,1,7
111,152,2,15
120,137,1,5
112,137,1,4
121,119,2,14
121,118,175,1117
121,117,72,439
121,116,1,5
113,119,1,10
113,118,1,4
113,117,1,5
121,113,3,26
158,138,1,4
105,117,1,4
113,112,4,28
105,113,2,12
743,122,2,14
743,121,1,5
120,121,1,4
157,145,2,9
113,109,3,15
121,105,4,33
113,105,2,10
121,102,1,6
121,101,30,185
743,118,1,5
113,101,112,703
110,154,1,8
105,101,1,8
111,139,2,22
112,113,3,15
200,154,1,9
200,152,1,9
200,151,1,8
110,142,5,33
732,155,1,5
111,124,1,5
865,142,1,5
111,121,1,10
148,147,2,10
742,117,2,16
670,142,4,20
101,154,2,12
110,139,8,44
200,147,3,23
101,152,8,61
110,136,1,6
200,144,1,10
110,134,1,7
200,142,10,58
147,154,1,5
155,151,1,7
147,153,1,5
147,152,30,203
139,154,11,90
139,152,34,226
148,137,1,9
139,151,3,14
670,139,2,9
101,147,30,230
101,145,14,98
200,139,10,54
101,142,1,5
200,137,5,29
200,136,13,90
200,134,8,52
200,133,2,17
147,148,2,16
147,145,15,103
139,147,9,51
139,144,1,4
147,141,1,4
147,140,1,13
148,129,2,8
111,101,1,5
139,142,78,521
139,141,2,17
148,122,2,9
100,152,4,27
148,121,2,11
101,139,2,9
670,124,1,4
101,137,10,56
110,118,1,4
110,117,1,6
154,152,135,847
200,125,1,9
155,139,1,4
200,124,1,5
200,123,2,9
200,121,4,24
147,139,10,58
147,137,69,441
139,137,6,55
139,136,14,85
139,134,7,37
100,147,1,6
139,130,1,4
100,145,1,4
100,142,3,16
101,129,2,11
101,128,13,76
154,147,3,17
200,118,3,14
200,117,1,4
855,142,1,8
154,142,7,36
101,121,5,29
200,113,1,7
715,139,1,6
147,129,71,501
200,110,2,14
147,128,17,115
732,118,1,4
139,129,2,13
139,126,1,4
865,105,1,5
139,125,4,32
147,122,6,38
139,124,9,58
147,121,91,593
100,139,1,7
139,122,1,9
139,121,26,171
100,136,5,32
670,109,1,5
100,133,1,4
154,139,23,142
101,117,1,4
145,152,5,41
137,154,1,7
154,136,1,7
200,109,1,7
137,152,33,195
838,152,1,4
154,134,1,9
101,113,20,141
101,112,2,8
129,152,9,64
155,118,1,4
147,119,1,4
200,101,2,12
147,118,44,281
147,117,54,382
139,118,125,787
139,117,37,240
147,113,32,212
100,128,1,6
139,110,3,14
100,125,1,10
100,124,1,9
145,147,55,336
145,146,1,5
153,142,1,8
100,121,4,39
137,147,182,1104
145,142,1,9
137,145,44,278
129,147,14,86
101,105,1,8
137,142,1,6
154,125,1,8
129,145,2,11
154,124,2,21
154,123,1,10
129,142,2,19
154,121,9,66
155,109,1,5
147,107,1,7
139,109,3,15
147,105,14,95
152,154,152,1084
139,105,1,5
147,101,170,1132
153,139,2,16
100,118,1,6
139,101,2,15
100,117,1,10
136,155,3,18
136,154,6,32
144,151,2,11
145,139,9,82
136,153,1,4
136,152,3,39
100,113,2,17
145,137,27,168
136,151,32,179
145,136,2,8
137,139,17,126
128,152,3,17
129,139,2,11
154,119,1,9
137,136,1,4
154,118,6,33
154,117,2,12
129,137,4,36
129,136,1,12
146,113,1,9
152,149,1,10
152,147,101,631
152,145,3,17
720,152,1,4
152,142,19,122
100,109,2,12
136,147,1,5
136,145,1,7
144,142,4,16
136,144,7,46
128,147,8,68
145,129,4,28
145,128,19,132
128,145,9,68
136,142,52,319
137,129,20,124
145,125,1,10
137,128,6,43
153,121,1,8
128,140,1,5
129,128,1,17
145,122,5,42
137,124,1,14
145,121,10,56
137,122,1,8
129,124,1,4
137,121,55,365
129,122,1,6
129,121,21,173
151,155,1,5
151,152,4,22
152,139,141,900
720,147,1,5
152,137,32,214
720,145,1,5
144,139,3,33
7,139,1,5
152,134,1,13
720,142,8,35
136,139,113,728
144,136,8,42
152,130,2,15
