origState,destState,familycnt,personcnt
117,151,2,10
117,150,19,140
121,122,2,11
715,139,5,33
121,120,6,39
715,136,5,31
715,134,1,4
848,152,1,4
107,105,1,9
156,142,1,4
124,155,2,12
124,154,7,38
670,148,20,102
107,101,1,4
124,152,11,63
124,151,1,5
670,144,1,6
117,148,33,186
117,147,13,81
670,142,21,105
117,146,4,22
670,141,1,7
121,119,14,84
121,118,85,517
121,117,94,580
117,142,14,83
117,141,46,309
117,140,1,5
121,113,2,10
715,129,2,10
715,128,1,4
715,122,1,8
715,121,1,4
131,150,27,229
670,139,33,171
670,137,1,6
670,136,37,179
124,142,21,121
117,139,34,225
670,134,2,15
117,137,3,36
117,136,12,67
121,107,1,9
117,134,1,4
121,106,1,4
117,132,2,16
121,105,23,171
117,131,3,26
121,101,3,19
715,119,1,4
715,117,1,6
131,145,1,6
823,150,2,25
131,142,1,6
124,139,9,55
124,136,2,8
670,129,17,94
124,134,1,6
670,127,4,23
670,126,19,86
670,125,1,4
670,124,3,15
117,129,66,409
117,128,1,16
670,122,1,6
117,127,8,37
670,121,4,20
117,126,10,45
117,125,1,7
117,124,2,14
117,122,1,7
117,121,15,95
117,120,6,47
131,139,1,6
715,106,1,6
732,155,17,93
156,119,2,32
124,129,2,11
124,127,1,4
670,119,9,44
124,125,2,11
670,118,8,44
670,117,22,145
117,119,151,896
117,118,53,300
117,116,2,18
117,113,1,4
117,111,1,4
117,110,1,4
127,155,3,22
131,126,1,5
127,151,1,5
131,123,1,4
156,106,2,11
124,119,3,15
124,118,3,16
124,117,6,37
124,111,5,28
117,109,1,4
124,110,3,15
718,127,1,5
117,106,18,104
117,105,18,114
134,155,1,5
134,154,1,10
134,152,3,14
134,151,1,4
131,119,2,14
131,117,2,14
124,109,1,4
141,153,2,11
141,152,2,24
141,150,2,11
134,142,15,75
127,136,2,10
732,127,2,10
141,148,1,7
911,136,1,7
134,139,7,34
134,137,1,5
134,136,19,97
127,129,1,7
732,119,2,9
732,118,1,9
141,136,2,10
141,134,1,4
134,127,2,9
134,126,5,25
134,124,1,5
703,155,1,5
134,121,1,7
127,118,1,4
127,117,3,12
137,157,1,8
141,129,3,27
137,152,22,160
134,119,1,6
134,118,2,10
134,117,7,50
703,148,1,5
127,109,1,6
137,148,8,48
137,147,45,287
141,119,2,13
141,118,1,8
137,145,21,109
141,117,1,4
105,156,1,6
105,154,1,9
134,106,1,6
703,139,1,6
151,155,15,92
151,150,1,6
914,137,1,13
137,139,3,18
137,134,1,5
105,148,88,556
105,147,15,82
105,145,1,4
742,123,2,13
105,142,2,8
141,101,1,5
105,141,3,12
105,140,2,14
151,145,1,9
151,142,1,7
102,105,1,5
144,136,2,12
144,134,2,8
112,148,4,22
144,133,1,4
112,145,4,21
137,129,9,63
137,128,8,55
112,142,1,8
137,127,1,5
105,139,2,11
137,125,1,4
600,158,1,4
742,117,1,4
105,137,4,31
105,136,1,5
137,122,1,5
600,155,16,98
137,121,12,73
706,155,3,14
105,135,1,8
137,120,2,11
600,151,7,46
600,150,2,17
151,139,4,26
151,136,22,129
703,117,1,4
151,133,9,51
144,125,9,50
137,119,4,27
137,118,29,181
137,117,17,110
105,129,48,297
105,128,6,41
137,113,43,286
137,112,2,13
600,142,5,29
600,141,1,12
105,122,10,59
105,121,4,32
151,129,1,5
147,154,1,4
151,127,2,10
200,156,1,8
151,126,8,57
151,125,4,27
147,152,15,95
200,155,27,137
200,154,3,19
200,153,1,4
200,152,3,49
720,155,1,5
200,150,32,239
144,117,2,13
720,151,4,25
112,128,1,10
144,111,1,4
112,125,1,7
112,122,2,13
112,121,1,4
137,106,2,14
600,139,4,42
706,139,1,4
105,119,1,6
137,105,21,136
600,138,2,9
154,155,1,4
105,118,2,13
105,117,5,24
600,136,33,189
137,101,22,132
154,152,264,1838
600,133,2,11
105,113,4,26
147,148,103,640
151,119,3,30
200,148,2,10
147,145,2,16
151,118,2,13
200,147,1,4
151,117,12,60
147,142,1,6
720,148,1,8
200,144,2,10
147,140,4,28
200,142,21,129
200,141,1,6
144,109,5,32
720,142,8,49
144,106,1,4
112,113,26,199
600,129,2,9
600,127,7,50
600,126,25,136
105,106,14,80
600,125,6,30
154,142,7,33
105,104,1,4
154,141,2,13
600,123,12,83
147,139,2,10
600,122,3,14
600,121,1,4
105,102,5,30
147,137,21,152
