origState,destState,familycnt,personcnt
117,151,3,16
121,123,1,5
117,150,11,66
121,122,1,4
715,139,5,26
121,120,8,61
715,136,4,20
877,106,1,5
124,154,4,23
670,148,21,110
670,147,1,5
124,152,10,51
117,148,30,203
117,147,8,47
153,106,2,12
670,142,15,77
121,119,20,113
670,140,1,6
117,145,1,5
121,118,67,405
121,117,66,367
813,121,1,6
117,142,12,80
117,141,16,97
121,113,1,8
117,140,1,5
121,112,1,5
131,153,3,18
715,122,1,4
715,120,1,5
131,150,9,63
124,148,1,6
124,147,1,4
670,139,36,194
670,137,1,5
670,136,25,132
124,142,12,75
117,139,44,310
117,137,1,10
117,136,15,79
718,155,1,4
121,107,1,4
117,134,2,22
117,133,2,12
121,106,2,10
117,132,1,16
121,105,19,133
117,131,3,18
715,119,2,11
715,118,1,6
715,117,2,9
131,141,3,18
124,139,8,62
124,137,1,4
670,129,25,136
670,127,10,49
670,126,17,93
670,125,1,4
670,124,2,16
117,129,135,881
117,128,3,15
117,127,38,208
670,121,3,14
117,126,9,45
670,120,1,4
117,125,3,14
117,121,26,163
117,120,33,172
131,139,1,5
715,106,1,5
732,155,10,50
156,117,2,18
124,129,2,11
124,128,1,13
124,125,1,4
670,119,10,51
670,118,19,99
670,117,36,185
124,122,2,10
117,119,231,1429
1936,139,1,7
117,118,61,380
117,113,2,8
117,112,1,4
117,111,1,10
131,129,2,15
127,155,10,55
127,152,2,14
131,123,1,6
156,106,1,4
124,119,7,46
124,118,5,36
124,117,15,82
670,109,1,4
124,111,3,14
117,109,1,5
124,110,1,5
117,107,1,5
670,101,1,5
117,106,23,120
117,105,8,37
134,155,7,36
131,119,3,29
131,118,1,8
131,117,1,4
127,142,1,5
124,105,1,6
141,153,5,21
134,148,1,6
830,122,1,4
134,142,18,91
732,129,1,7
732,127,3,12
131,106,2,17
728,150,1,5
141,148,1,4
141,142,1,9
911,135,1,9
134,139,4,27
134,137,1,6
134,136,13,80
1001,106,1,4
102,147,1,7
134,130,1,4
127,126,2,15
732,119,2,9
732,117,2,10
141,136,1,4
742,154,1,4
742,150,3,19
134,126,5,27
134,125,1,5
134,122,1,5
703,155,1,6
127,119,1,4
127,118,2,9
127,117,1,6
141,129,2,23
742,148,1,4
137,154,2,12
137,152,28,198
137,150,1,5
742,142,1,6
141,120,1,6
134,119,2,13
134,118,5,27
134,117,13,79
703,148,1,5
134,111,1,6
134,110,3,14
144,155,2,11
137,148,2,11
137,147,37,226
141,119,4,41
137,145,16,89
141,118,1,5
742,134,1,5
105,154,1,9
105,153,1,5
105,152,1,11
134,109,1,4
105,150,1,22
151,155,22,120
151,154,1,4
151,152,1,5
102,113,1,8
137,136,1,5
742,127,3,14
105,148,78,448
105,147,39,265
141,106,8,38
141,105,1,9
105,145,2,16
137,130,2,18
105,142,1,9
105,141,5,25
105,140,4,16
703,129,2,10
102,106,1,4
102,105,8,54
144,136,3,13
112,148,6,49
112,145,2,9
137,129,17,85
137,128,13,87
600,158,1,8
105,139,2,11
742,117,7,40
105,137,3,24
600,155,22,121
137,121,7,49
706,155,8,37
600,152,1,5
600,151,8,37
600,150,2,12
