origState,destState,familycnt,personcnt
121,124,1,5
117,151,1,4
117,150,3,23
121,122,2,11
121,120,2,15
715,139,3,14
715,134,1,6
156,142,1,6
124,154,4,25
670,148,11,55
124,153,2,17
124,152,9,58
107,101,1,4
117,148,22,120
117,147,18,143
670,142,14,74
153,105,1,5
121,119,13,69
121,118,72,459
121,117,58,365
117,142,9,81
117,141,6,48
715,129,3,18
124,147,1,6
670,139,18,96
124,144,1,7
670,136,7,36
124,142,12,56
117,139,48,316
117,137,2,8
117,136,22,124
121,107,1,7
121,105,7,42
117,131,9,60
121,101,2,15
715,118,1,4
715,117,3,22
131,142,1,4
124,139,18,104
124,137,5,23
670,129,18,97
124,134,1,4
670,126,7,36
670,124,3,16
117,129,108,642
117,128,1,5
670,122,1,10
117,127,2,8
117,126,3,12
1,129,1,9
117,125,1,9
117,124,2,13
117,122,3,17
117,121,30,186
732,155,4,22
124,129,3,18
124,128,1,4
670,119,3,20
670,118,19,108
670,117,16,91
124,122,1,7
124,121,1,12
117,119,105,615
670,113,1,4
117,118,55,354
131,129,1,6
127,155,1,10
124,119,1,5
124,118,1,5
124,117,8,52
124,111,1,4
117,109,1,4
124,110,1,6
117,106,3,17
117,105,17,112
936,134,1,5
134,154,2,8
117,101,1,9
134,152,1,4
131,119,2,10
131,117,2,13
127,142,1,4
124,109,1,4
141,152,1,4
134,142,24,152
732,126,1,4
141,148,1,4
141,147,2,11
134,139,7,39
134,137,1,4
134,136,17,127
102,141,1,4
732,119,1,6
732,118,1,4
732,117,1,4
141,133,1,4
134,126,4,24
134,125,3,18
134,124,2,8
134,123,1,6
141,129,1,5
141,128,1,11
137,154,1,6
137,152,24,150
141,121,1,9
134,118,2,10
134,117,4,29
144,153,2,11
637,136,1,4
137,148,5,25
137,147,57,357
137,145,15,86
141,118,1,6
141,117,1,4
137,142,1,4
137,141,1,4
137,140,1,6
105,152,1,9
134,109,2,13
151,155,7,39
151,152,4,42
144,142,1,8
137,139,4,22
105,148,35,255
141,106,1,7
105,147,31,194
137,131,1,7
105,145,1,11
105,141,4,23
105,140,3,22
151,142,1,7
102,105,7,46
144,136,5,25
112,148,2,14
144,133,1,6
112,145,3,18
137,129,23,155
137,128,18,116
105,139,1,4
137,122,3,38
600,155,9,59
600,154,1,6
137,121,11,73
137,120,1,4
600,152,1,5
600,151,12,61
600,150,1,4
151,139,6,31
151,136,25,133
151,133,9,53
144,125,9,45
112,137,2,14
144,122,1,5
137,119,1,7
137,118,20,140
137,117,10,64
105,129,36,268
105,128,3,19
137,113,65,382
137,112,3,19
706,145,1,9
600,142,2,10
105,122,3,21
105,121,4,25
151,127,1,5
151,126,3,14
151,125,11,72
147,152,24,160
200,155,16,93
200,154,1,7
151,123,1,4
147,150,1,6
200,153,2,8
151,122,1,8
720,155,2,10
200,150,4,20
720,152,1,6
720,151,2,8
112,128,2,11
600,139,3,15
706,139,2,9
137,105,5,33
105,118,3,14
600,136,43,248
706,136,2,8
154,153,1,7
137,101,14,67
154,152,262,1850
600,133,2,11
105,113,7,42
147,148,32,191
151,119,1,6
151,118,1,9
147,145,6,39
151,117,11,67
200,147,6,40
720,148,1,7
200,144,2,9
147,141,2,17
147,140,4,20
200,142,7,65
720,145,1,4
200,140,1,6
144,109,6,38
720,142,7,34
112,113,19,124
154,147,2,8
600,129,3,26
600,127,1,5
600,126,17,97
105,106,1,4
600,125,8,56
154,142,5,33
706,124,1,6
600,123,19,122
147,139,1,10
600,122,5,20
600,121,1,5
105,102,1,4
147,137,38,247
105,101,10,75
151,109,1,6
200,139,15,93
807,155,1,6
122,151,1,5
200,137,1,6
147,133,1,4
200,136,15,80
720,139,5,24
200,134,3,18
147,130,1,5
200,133,1,4
720,136,10,52
720,134,1,4
720,130,1,7
154,139,18,110
154,137,1,7
112,101,6,40
600,119,6,29
154,136,3,17
600,118,7,50
600,117,21,160
122,148,20,110
122,147,3,19
122,145,1,14
147,129,185,1088
147,128,95,568
200,129,15,72
200,128,1,5
200,126,4,21
147,122,2,11
200,125,7,50
200,124,1,9
147,121,91,565
200,122,1,4
720,125,2,10
200,121,3,25
720,123,1,6
154,129,3,22
1846,124,1,11
600,109,1,4
154,126,1,5
122,139,2,14
154,124,1,7
600,106,5,32
122,136,1,5
154,122,2,14
154,121,13,82
122,134,1,4
147,119,13,95
147,118,20,147
147,117,39,233
200,119,6,34
200,118,4,23
200,117,43,268
147,113,39,213
720,119,1,4
720,118,3,14
720,117,6,40
200,113,1,6
154,119,4,17
154,118,4,19
154,117,4,21
154,116,1,5
122,129,6,27
118,155,13,70
122,128,14,87
118,153,1,6
154,111,1,20
118,152,17,137
118,151,1,4
118,150,2,15
147,107,1,4
122,121,1,4
200,109,2,19
147,105,113,678
147,101,53,311
125,155,1,4
125,151,10,81
125,150,3,25
118,148,17,102
118,147,8,47
122,119,1,5
118,145,1,5
122,118,1,7
122,117,2,17
118,142,14,85
154,101,2,9
118,141,1,6
122,113,2,13
122,111,1,4
157,137,1,5
125,144,9,43
125,142,6,36
118,139,98,664
118,137,13,93
118,136,5,37
122,105,3,15
122,101,8,45
1849,129,1,4
125,139,3,17
100,152,1,9
100,151,1,4
125,136,16,72
125,134,2,13
125,133,10,53
118,129,103,647
118,128,1,6
118,127,1,4
118,126,8,43
118,125,1,5
118,124,3,15
118,123,2,8
118,122,1,6
118,121,43,258
118,120,3,18
100,147,6,46
100,145,1,5
125,128,3,12
100,142,8,59
100,141,1,9
125,126,2,13
100,140,6,46
125,123,17,81
118,119,116,741
118,117,129,815
118,116,1,6
118,110,4,28
128,152,2,9
100,139,5,31
100,136,4,21
125,119,1,5
100,134,2,11
125,118,1,5
125,117,11,60
125,116,1,4
726,136,1,7
100,130,1,4
118,109,2,14
118,105,8,45
1002,125,1,5
118,101,1,7
128,148,23,181
128,147,38,199
128,145,4,25
100,129,1,4
100,128,1,6
100,127,1,7
100,126,2,10
100,125,2,8
125,109,10,59
100,123,2,9
100,121,3,15
142,155,27,146
142,154,7,47
142,153,1,5
142,152,21,149
142,151,1,9
142,150,1,9
128,139,1,7
128,137,4,17
100,118,3,17
100,117,3,21
100,113,3,15
142,147,2,10
142,146,1,4
142,144,3,23
110,154,1,6
110,152,2,8
128,129,7,39
128,126,1,13
128,124,2,10
100,109,1,4
128,122,46,250
128,121,4,24
100,105,1,9
142,139,139,854
100,101,1,9
142,136,47,283
743,155,1,4
142,134,21,137
110,148,1,10
743,152,1,8
110,142,9,47
128,119,1,9
128,117,3,29
128,113,8,58
142,129,12,65
142,127,1,4
142,126,11,71
142,125,3,13
110,139,12,78
142,124,17,113
142,123,1,7
110,136,3,25
743,142,1,4
142,121,3,16
142,120,3,17
128,105,34,212
128,101,49,305
142,119,17,107
743,139,1,5
142,118,43,288
142,117,66,431
110,129,1,6
110,128,1,5
142,111,1,7
110,124,5,23
142,110,1,5
152,154,266,1828
152,151,3,15
145,148,3,15
145,147,9,60
145,143,1,11
145,141,1,5
113,152,2,11
142,109,3,19
110,119,1,6
110,118,7,39
110,117,1,9
743,122,2,17
152,148,2,12
152,147,42,274
152,145,1,9
152,142,6,35
120,154,1,5
145,137,20,114
145,136,1,4
113,148,11,86
113,147,22,123
113,145,21,120
113,140,6,34
152,139,49,282
152,137,29,170
152,136,3,17
120,148,1,5
145,129,2,13
152,130,1,5
145,128,41,282
120,142,1,5
113,137,24,172
113,136,1,5
145,122,2,15
145,121,1,5
113,134,1,4
106,129,2,8
152,129,56,373
152,128,8,60
148,152,1,4
120,139,6,29
152,124,10,55
120,137,1,4
152,122,1,4
152,121,64,403
145,117,2,10
113,129,2,12
109,155,2,11
113,128,49,274
145,113,100,610
145,112,6,34
113,123,1,4
113,122,5,35
106,118,1,10
155,154,1,7
155,151,1,4
148,147,13,90
152,119,5,34
148,145,1,4
152,118,19,129
152,117,25,150
120,129,8,51
152,113,5,27
152,111,3,19
152,110,1,5
145,109,1,5
145,107,1,5
120,121,3,18
145,105,1,6
721,140,2,12
630,154,2,10
109,145,2,11
113,118,3,16
630,153,1,10
109,144,5,22
630,152,2,9
109,142,4,29
145,101,44,257
113,112,58,343
113,111,1,6
155,144,1,6
123,155,5,30
123,154,2,8
123,151,1,6
152,109,1,5
152,107,1,8
152,105,1,9
120,118,2,13
120,117,1,8
152,101,3,18
120,113,1,4
109,139,2,8
109,136,21,113
113,107,1,5
113,105,13,95
155,139,5,31
113,101,193,1159
130,151,1,6
155,136,7,42
148,129,6,45
148,128,4,26
123,142,2,10
123,141,1,7
918,118,1,5
123,140,3,12
116,139,1,4
148,122,9,67
148,121,2,9
109,126,2,16
109,125,13,74
155,129,5,24
155,127,1,9
155,126,2,13
155,125,1,4
123,139,2,11
123,136,2,11
148,119,1,14
123,134,1,5
148,118,2,9
123,133,10,59
148,117,5,34
123,131,1,8
148,113,1,5
148,111,1,10
109,119,1,4
109,118,2,13
109,117,1,4
130,139,1,4
109,113,1,9
155,119,5,26
130,134,1,4
130,133,2,10
155,118,2,11
155,117,16,92
119,155,6,31
123,127,5,21
123,126,1,4
119,152,2,11
123,125,23,128
3,154,1,5
148,107,1,10
123,121,1,6
148,105,10,65
116,118,1,6
1000,139,1,4
148,101,7,48
721,101,1,4
130,129,1,13
126,155,4,25
630,113,1,7
119,148,6,31
123,118,1,7
123,117,6,42
119,142,4,24
119,141,3,15
123,112,1,4
133,151,5,28
126,142,3,25
119,139,21,148
119,137,3,21
