origState,destState,familycnt,personcnt
107,127,1,4
107,126,1,4
107,120,18,102
743,150,1,6
107,119,6,27
138,131,1,11
138,130,5,22
107,117,7,39
107,116,3,17
146,158,8,74
146,156,2,9
146,155,7,49
712,127,1,4
146,153,2,11
138,127,17,102
138,126,1,6
107,106,2,8
107,105,1,4
107,104,1,11
720,142,1,4
123,156,1,5
123,151,1,4
146,140,2,21
138,119,1,4
138,118,2,11
138,116,1,5
138,112,1,5
100,155,5,25
100,154,3,12
146,139,1,7
146,138,22,130
743,122,1,5
123,144,4,24
100,150,2,9
123,142,1,4
146,131,8,47
146,130,2,13
851,139,1,5
138,109,1,7
138,106,1,5
720,129,1,9
154,155,1,5
100,148,16,79
100,147,4,30
154,152,33,193
154,151,1,4
123,137,1,4
146,129,1,5
123,136,1,4
146,128,1,11
100,142,3,15
146,127,16,98
123,134,1,5
100,141,1,6
146,126,4,24
123,133,2,9
100,140,44,305
146,120,1,4
131,156,6,46
154,148,1,8
131,155,9,53
131,153,7,33
1972,129,1,4
100,139,2,9
100,138,3,19
131,150,3,22
100,137,5,37
154,142,6,29
100,136,4,22
154,141,2,24
154,140,1,7
146,119,12,75
146,118,1,4
123,125,11,60
146,117,2,12
100,131,2,9
100,130,1,5
123,120,1,4
131,148,4,18
131,147,2,13
154,139,19,100
131,146,16,102
131,142,1,6
100,129,7,40
131,141,4,18
100,128,1,5
131,140,19,117
100,127,2,10
100,126,3,16
100,124,1,5
100,123,1,7
123,115,1,4
100,121,4,28
146,107,1,9
100,120,4,27
146,106,1,5
146,105,3,21
131,139,4,20
131,138,1,5
154,129,5,35
131,136,4,24
154,127,1,4
154,126,1,12
131,132,1,7
100,119,2,15
154,124,5,23
100,118,4,27
131,130,7,50
100,117,2,10
100,116,1,10
154,121,15,95
154,120,2,8
123,107,1,4
123,106,3,16
100,112,1,6
131,129,23,146
131,127,8,50
154,119,2,24
131,126,1,5
154,118,1,5
154,117,2,11
154,116,2,18
131,121,2,10
131,120,54,328
100,107,2,8
100,105,18,114
100,104,1,13
131,119,69,406
131,118,5,32
131,117,22,127
131,116,4,21
154,107,1,11
131,113,2,11
154,105,1,5
154,104,1,7
739,148,1,4
154,101,1,6
131,107,27,154
131,106,8,39
131,105,4,25
131,104,1,4
131,101,3,15
119,156,1,4
119,155,16,93
119,154,3,24
119,153,6,39
119,152,1,4
119,150,2,13
119,148,3,16
119,147,1,6
119,146,28,167
119,142,1,7
119,141,6,38
