origState,destState,familycnt,personcnt
117,151,2,13
117,150,15,112
121,122,1,7
121,120,8,42
715,136,1,7
877,106,1,4
124,155,1,5
156,141,1,4
670,148,4,21
124,154,3,17
124,152,4,28
124,150,1,6
117,148,4,27
117,147,14,80
670,142,5,23
117,146,2,16
121,119,6,50
121,118,65,403
121,117,68,404
121,116,1,12
117,142,16,112
117,141,8,46
117,140,2,18
121,113,4,18
933,136,1,5
131,150,15,123
156,132,1,7
670,139,5,27
670,136,10,45
124,142,13,92
670,134,1,4
117,139,35,224
670,131,1,4
117,136,21,103
117,134,1,5
121,107,1,5
121,106,2,9
117,133,3,25
121,105,7,50
117,132,4,21
117,131,12,69
1001,150,1,4
121,101,1,7
131,142,1,14
131,141,2,10
124,139,3,13
124,136,2,8
670,129,7,31
670,127,4,18
670,126,9,50
670,124,1,7
117,129,79,469
117,128,1,5
117,127,31,179
117,126,14,85
117,125,4,22
117,124,1,4
117,123,2,9
117,122,1,6
117,121,19,112
117,120,25,158
715,109,1,4
131,139,4,18
732,155,15,80
131,132,1,5
124,127,1,4
124,126,1,4
670,119,7,37
670,118,4,19
670,117,12,58
124,120,1,6
117,119,114,679
670,113,1,5
117,118,96,543
117,116,1,5
830,145,1,4
127,158,1,4
131,129,8,55
127,155,19,125
127,154,1,10
131,127,2,9
131,126,1,4
131,125,1,5
127,150,1,6
131,120,1,4
124,119,2,12
124,118,2,11
124,117,4,23
124,111,7,36
117,109,2,11
124,110,1,13
858,150,1,8
117,107,3,14
117,106,18,103
117,105,6,41
134,155,1,6
117,101,1,6
127,147,1,4
131,119,13,64
131,118,4,36
131,117,5,25
127,142,1,4
127,141,1,5
124,107,1,9
124,106,1,4
124,105,1,4
141,153,17,113
141,152,2,12
124,101,1,4
141,150,1,5
134,142,16,99
127,139,2,10
127,138,1,5
127,136,3,14
131,107,3,22
732,127,3,15
131,106,2,18
127,133,1,10
127,130,2,10
141,147,1,8
134,139,2,8
134,136,10,52
1001,101,1,5
127,129,2,13
732,119,1,5
127,126,10,60
127,125,2,11
732,117,4,22
127,120,2,10
141,139,2,21
141,137,3,20
742,156,1,14
742,150,8,51
134,126,2,9
703,155,2,12
127,119,19,110
127,118,1,5
127,117,11,74
127,113,1,5
127,111,2,8
137,157,1,16
141,129,1,4
137,154,2,10
141,126,1,7
137,152,19,115
137,150,1,5
141,121,1,6
134,119,5,27
134,118,1,4
134,117,4,22
127,109,2,8
127,106,4,29
144,150,2,20
137,148,1,6
137,147,38,248
141,119,1,12
137,145,17,114
141,117,2,10
137,143,1,12
141,116,2,16
137,142,2,9
137,140,1,4
105,152,1,8
134,109,2,12
151,155,6,35
151,152,1,9
112,155,1,5
137,139,2,10
141,109,1,6
137,134,1,4
105,148,93,586
141,106,7,37
105,147,22,144
105,145,2,13
105,141,2,10
105,140,2,14
151,146,1,5
102,105,5,37
151,141,1,6
144,136,5,23
112,147,1,4
112,145,3,15
137,129,4,22
137,128,2,11
112,142,1,5
742,119,1,10
600,158,2,9
137,124,1,4
742,117,1,6
105,137,4,30
105,136,3,20
600,155,13,70
706,155,1,7
137,121,4,22
600,154,2,10
600,151,5,29
600,150,1,5
105,131,2,10
151,139,3,17
151,136,13,66
151,134,2,8
151,133,6,38
151,131,2,10
144,127,1,5
112,139,1,6
144,125,7,45
144,123,2,8
112,137,1,4
137,119,3,21
137,118,15,92
137,117,1,6
105,129,110,703
105,128,14,78
137,113,10,58
137,112,1,12
600,142,2,9
600,141,1,4
105,122,14,90
105,121,11,70
105,120,12,70
147,155,2,11
147,154,1,5
151,127,3,21
200,156,2,17
147,153,1,5
151,125,8,54
147,152,12,67
200,155,3,17
200,154,1,5
147,150,1,8
151,123,1,6
200,152,6,33
144,119,3,23
200,150,57,365
144,117,2,9
112,128,1,5
112,122,2,11
600,139,9,50
137,105,3,12
105,119,5,34
105,118,3,15
137,103,1,12
105,117,23,145
600,136,36,200
600,134,1,13
137,101,2,14
154,152,152,1091
600,133,2,10
105,113,2,15
600,132,2,8
147,148,28,183
151,119,1,4
147,145,1,6
200,147,1,10
151,117,4,24
200,145,2,15
147,142,2,10
200,144,1,5
147,141,1,8
147,140,1,4
200,142,11,61
144,109,4,16
720,142,9,40
112,117,1,5
112,113,19,116
154,148,1,6
600,129,1,6
600,127,8,63
600,126,79,483
105,106,3,19
600,125,10,56
154,142,10,52
105,104,1,4
122,155,2,10
600,123,10,66
600,122,4,21
147,139,1,8
105,102,3,22
600,120,3,21
122,152,1,10
147,137,21,132
105,101,12,86
151,109,1,5
147,136,1,5
200,139,5,38
151,106,2,10
200,136,11,60
720,139,2,8
200,134,1,4
147,130,1,5
720,136,3,19
200,131,1,7
112,106,1,4
154,139,36,212
112,101,6,35
600,119,7,37
600,118,2,16
600,117,11,72
706,117,1,10
122,148,34,201
147,129,46,313
147,128,11,56
147,127,4,17
200,129,1,7
200,126,3,21
147,122,3,20
200,125,4,19
147,121,101,622
720,127,1,4
200,123,1,6
147,120,4,25
200,122,1,11
720,125,1,4
154,129,4,25
600,109,2,10
154,127,1,4
154,126,2,10
154,124,5,32
600,106,8,47
600,104,1,5
122,136,2,15
154,121,7,44
122,134,1,5
147,118,21,145
147,117,48,298
200,119,2,13
200,118,1,4
200,117,11,56
147,113,17,103
200,116,3,21
720,117,4,21
