origState,destState,familycnt,personcnt
121,124,2,11
117,150,6,31
146,106,1,5
715,139,3,13
121,120,28,172
715,134,1,6
107,106,1,4
107,105,3,18
877,104,1,4
124,155,1,4
670,148,5,30
124,154,8,46
124,152,7,37
670,146,4,19
153,107,1,17
117,148,39,226
670,142,2,11
153,106,3,18
117,147,7,51
670,141,1,11
117,146,4,25
121,119,2,16
117,145,1,4
121,118,37,203
121,117,24,124
117,142,8,39
117,141,8,44
117,140,2,10
121,113,1,10
131,156,3,20
131,155,6,43
131,153,2,9
715,120,2,8
156,132,2,12
670,139,4,29
156,131,1,4
156,130,1,5
124,144,1,4
670,136,8,39
124,142,15,87
117,139,38,211
117,138,1,7
117,137,2,12
670,131,4,20
117,136,1,6
117,134,1,5
121,106,5,24
117,133,1,5
117,132,1,4
121,105,20,124
117,131,78,491
121,102,1,8
121,101,2,10
131,148,1,6
715,117,2,8
131,142,2,19
131,141,2,16
124,139,2,18
670,127,11,55
670,126,12,68
670,125,3,13
670,124,1,4
117,129,110,605
117,128,1,4
117,127,18,103
670,121,1,4
117,126,18,99
1,129,1,9
670,120,3,15
117,125,4,18
117,124,2,13
117,121,12,74
117,120,166,950
715,109,2,14
131,139,3,16
131,136,3,18
732,155,8,47
732,150,1,4
124,129,2,8
124,127,1,4
670,119,7,34
670,118,3,13
670,117,18,97
670,116,1,9
124,121,3,17
117,119,172,996
117,118,77,433
117,116,1,6
117,113,2,14
117,112,1,4
117,111,1,4
127,158,1,5
131,129,19,119
127,155,31,156
127,154,1,9
131,127,4,23
131,126,2,11
732,146,1,4
127,153,1,10
156,106,1,5
131,120,26,149
124,118,1,4
124,117,1,5
670,106,1,5
124,111,7,41
124,110,4,18
117,109,4,19
117,107,8,42
117,106,26,156
117,105,17,92
134,155,2,10
127,148,3,13
127,146,6,34
131,119,44,241
131,118,1,5
131,117,16,108
127,142,2,12
127,141,1,7
124,109,1,6
141,153,21,127
141,150,2,9
134,148,2,12
830,122,1,4
134,142,16,92
134,141,1,5
127,139,5,25
127,138,1,5
127,136,4,30
732,129,1,6
732,127,13,81
131,107,3,18
131,106,3,29
127,131,3,13
141,148,3,16
134,139,2,8
134,137,2,9
134,136,26,130
102,148,2,11
830,112,1,5
134,130,1,5
127,129,5,25
127,126,2,21
732,119,1,4
732,117,2,11
127,123,2,17
127,121,1,8
127,120,5,27
141,139,1,5
742,155,1,10
134,129,2,9
742,150,2,15
134,126,1,9
134,125,3,12
134,124,2,10
703,155,1,5
134,120,3,12
127,119,24,149
127,118,1,4
127,117,12,70
141,129,1,5
141,126,2,10
137,152,23,142
141,121,1,9
742,141,1,6
735,138,1,4
134,117,3,14
102,129,1,8
703,148,1,4
134,113,1,6
134,110,1,5
127,106,3,16
144,151,1,4
137,148,11,76
137,147,25,173
141,119,1,6
141,118,1,4
137,145,19,113
141,117,1,4
141,116,2,14
137,141,2,12
742,134,1,5
105,154,1,6
137,140,1,6
105,150,1,7
134,106,4,20
151,155,1,4
102,118,1,4
151,154,1,4
703,131,1,7
112,152,2,12
742,129,1,7
742,127,2,10
105,148,158,948
141,106,14,85
105,147,20,126
105,141,7,37
105,140,21,121
703,127,1,4
151,144,2,11
703,125,1,4
102,105,7,57
144,136,4,35
144,134,1,4
112,148,5,27
112,145,2,10
137,129,2,14
137,128,4,25
112,142,1,5
742,119,4,27
105,139,1,4
600,158,4,23
742,118,2,11
742,117,1,4
105,137,5,33
105,136,1,7
600,155,4,27
706,155,1,5
137,121,2,23
137,120,1,5
600,153,2,12
105,133,1,9
600,151,6,30
151,139,1,4
703,119,1,6
151,136,9,44
703,118,1,8
151,134,1,8
151,133,3,14
151,131,1,4
745,146,3,18
144,125,10,57
112,137,1,5
137,118,7,45
137,117,2,12
105,129,70,436
105,128,8,48
105,127,1,6
137,113,8,55
600,144,5,48
600,142,1,4
105,122,11,81
105,121,9,69
151,129,2,18
105,120,12,74
151,127,2,11
147,154,1,4
200,156,2,10
151,125,12,57
147,152,12,80
200,155,3,19
200,154,3,13
703,106,1,4
200,152,2,14
200,151,1,6
151,120,2,12
200,150,18,155
720,152,1,10
112,128,2,9
137,107,1,7
137,106,1,8
105,119,1,5
600,138,1,6
137,105,10,54
154,155,2,9
600,137,2,21
105,118,7,29
105,117,9,66
600,136,12,66
105,116,2,11
137,101,2,15
154,152,73,506
600,133,4,18
600,132,1,4
154,150,1,6
105,113,12,83
147,148,70,437
600,131,7,39
600,130,7,35
151,119,3,16
200,147,4,34
151,117,4,23
147,142,3,17
200,144,3,13
147,141,3,14
151,113,1,4
147,140,4,19
200,142,19,114
200,141,2,14
144,109,3,15
200,140,1,4
115,150,1,9
720,142,2,12
804,123,1,5
112,113,20,128
154,148,3,22
154,147,1,6
600,128,2,8
600,127,5,33
105,107,2,14
600,126,47,265
105,106,5,25
600,125,19,104
154,142,16,99
122,155,1,8
105,104,4,32
600,123,11,62
600,122,2,11
147,139,5,26
122,153,1,12
105,102,2,17
122,152,1,5
147,137,23,116
105,101,11,61
600,120,4,21
147,136,2,12
151,109,1,5
200,139,7,40
807,155,1,7
200,137,1,4
147,134,1,5
151,106,1,8
200,136,6,39
720,139,1,4
200,134,4,19
200,133,1,4
720,136,1,4
200,131,3,18
112,109,1,4
804,112,1,4
154,139,23,120
112,101,10,53
600,119,3,14
154,136,1,5
600,118,2,8
600,117,5,30
122,148,52,320
154,131,3,17
122,145,2,14
147,129,40,223
600,111,1,4
147,128,17,92
600,110,1,7
147,126,1,4
200,129,1,4
200,126,5,25
200,125,2,11
200,124,1,4
147,121,60,348
147,120,4,24
200,123,1,6
720,126,1,6
720,125,1,7
154,129,4,25
600,109,2,8
154,127,4,22
154,126,4,28
122,139,1,4
600,107,1,5
154,124,5,23
600,106,9,49
154,123,2,13
706,105,1,5
154,121,12,75
154,120,14,89
147,118,3,14
706,101,1,6
147,117,14,78
122,131,1,7
200,119,10,65
200,118,3,14
200,117,12,73
200,116,1,7
147,113,17,102
200,113,1,5
115,123,1,4
720,110,1,6
154,119,4,50
154,118,5,24
154,117,5,30
154,116,1,7
122,129,1,8
118,155,4,20
122,128,18,103
118,154,1,5
118,153,7,59
118,152,3,17
118,151,2,13
118,150,1,4
200,109,2,16
122,121,1,6
147,106,4,18
147,105,45,245
200,107,1,4
200,106,2,8
720,109,1,5
147,101,18,108
157,145,1,6
125,155,5,21
125,152,1,4
125,151,4,25
125,150,1,5
154,107,1,6
118,148,10,64
154,106,1,11
118,147,3,17
118,146,1,4
154,105,1,5
118,145,1,7
122,117,3,19
118,142,13,84
118,140,2,8
122,113,2,9
122,112,1,9
132,150,20,143
125,144,5,30
125,142,3,15
118,139,54,298
118,137,6,36
118,136,4,21
118,133,1,8
118,132,1,6
122,105,15,80
118,131,21,125
122,101,3,30
100,155,2,10
125,139,3,21
100,152,4,22
125,136,12,67
125,133,18,87
125,132,2,14
125,131,1,5
118,129,51,304
118,127,3,19
118,126,28,157
118,124,1,5
856,137,2,12
118,121,26,139
118,120,73,408
733,155,1,5
1870,139,1,5
100,148,8,51
100,147,3,20
125,128,1,7
100,142,8,64
125,127,6,31
125,126,1,4
100,140,8,42
125,124,2,17
125,123,15,70
118,119,49,292
118,117,104,582
118,110,1,11
733,146,1,4
128,152,1,5
100,139,2,11
100,136,3,24
100,135,1,5
125,117,5,23
100,131,2,17
118,109,1,4
118,107,2,13
118,106,7,31
118,105,13,88
118,101,4,19
135,150,1,9
128,148,65,374
128,147,15,84
128,145,1,5
132,117,1,5
100,129,3,14
100,126,1,8
125,109,8,40
125,106,1,5
125,105,1,4
142,156,1,5
100,120,3,17
142,155,5,29
142,154,19,116
142,152,5,30
142,151,1,4
142,150,5,31
135,148,1,5
128,136,1,6
132,107,1,6
733,127,6,36
733,126,1,4
132,106,7,45
100,119,2,12
100,118,5,50
733,120,4,24
142,148,3,17
142,147,2,10
142,146,1,8
142,141,2,9
736,158,2,16
128,129,8,34
128,126,3,15
733,118,1,4
733,117,2,8
128,122,25,127
128,121,1,5
100,107,1,7
100,106,1,6
100,105,2,10
142,139,48,284
100,101,1,8
142,137,2,11
142,136,29,146
142,134,15,78
110,147,1,6
743,152,1,6
142,131,11,63
142,130,1,4
743,150,2,16
110,142,6,33
736,146,17,88
128,118,2,15
128,117,1,4
1873,121,1,7
128,113,4,23
138,158,1,6
142,129,7,42
142,127,5,29
142,126,10,58
142,125,3,15
110,139,7,43
142,124,14,87
142,123,1,6
743,142,1,5
142,121,1,4
711,155,3,20
110,134,1,6
142,120,24,131
736,139,1,5
736,138,1,6
736,136,1,14
110,131,2,12
736,131,5,36
128,107,1,9
128,106,3,17
128,105,30,177
128,101,30,218
145,152,1,5
138,146,1,4
743,139,1,6
142,119,21,123
142,118,17,86
142,117,19,102
142,116,2,12
106,155,1,5
106,153,4,19
743,131,1,7
110,124,1,4
736,129,1,8
106,151,1,4
142,110,3,13
106,150,4,20
110,122,1,4
