origState,destState,familycnt,personcnt
117,151,5,26
117,150,72,536
121,122,2,17
715,139,8,45
121,120,3,38
715,136,5,26
156,141,1,9
124,154,5,40
670,148,28,148
670,147,2,8
124,152,11,49
117,148,25,138
670,143,1,4
117,147,27,161
670,142,25,133
670,141,1,9
121,119,23,162
121,118,74,465
121,117,63,406
117,142,11,70
117,141,21,139
121,113,2,15
117,140,3,25
121,112,1,5
715,129,3,16
121,110,1,4
715,128,1,5
715,121,1,5
131,150,3,44
670,139,35,200
670,137,1,8
670,136,14,71
124,142,21,115
670,134,2,16
117,139,55,371
117,136,22,153
670,130,1,4
117,135,1,6
121,106,1,4
121,105,15,91
117,132,2,11
117,131,56,477
121,101,7,36
715,118,1,5
131,141,1,6
124,139,13,77
670,129,23,129
670,127,1,5
670,126,12,71
670,124,4,17
117,129,80,521
670,122,2,16
117,127,5,40
117,126,2,10
670,121,6,30
117,125,2,11
117,124,3,22
117,123,2,12
117,122,2,16
117,121,25,169
117,120,3,18
732,155,7,35
131,132,1,9
124,129,1,6
670,119,3,18
670,118,17,96
670,117,34,180
117,119,318,2329
117,118,71,464
117,113,2,11
131,129,2,11
124,119,2,14
732,140,1,4
124,118,5,24
124,117,10,63
124,111,1,5
124,110,2,12
117,109,1,5
117,106,7,46
117,105,18,104
134,155,2,8
134,152,2,16
134,150,5,35
131,119,8,45
131,118,1,4
732,137,1,5
131,117,3,28
141,156,1,12
141,153,3,27
134,147,1,6
134,142,24,124
127,139,1,6
127,136,1,4
131,109,1,4
732,127,2,12
865,142,1,11
141,147,1,14
134,139,7,36
134,136,19,114
134,133,1,4
732,117,2,9
141,139,2,10
742,155,2,9
134,129,2,9
134,126,2,10
134,125,3,15
134,124,1,5
1868,152,1,10
127,119,1,5
127,118,1,4
141,129,1,5
137,152,39,256
141,121,1,6
134,119,3,15
134,117,7,42
134,113,1,4
134,110,2,9
137,148,11,84
137,147,83,529
141,119,2,8
141,118,1,5
137,145,14,82
742,136,1,7
742,134,1,4
105,155,1,6
134,109,2,12
134,106,1,4
151,155,10,61
151,154,1,4
151,150,1,4
144,142,2,8
137,139,2,12
137,136,3,18
742,129,1,5
105,148,69,464
105,147,31,185
141,105,1,6
151,148,1,4
151,144,2,11
151,142,2,9
102,105,5,57
144,139,1,15
144,136,5,35
112,148,5,28
112,147,2,10
144,133,1,4
112,145,5,33
137,129,9,50
137,128,24,128
600,158,1,5
742,117,3,15
105,136,1,4
600,155,18,113
137,121,19,118
706,155,1,5
600,153,1,7
600,151,14,87
600,150,6,51
151,139,6,38
151,136,23,143
151,133,12,61
868,121,1,6
151,130,1,7
112,139,1,5
144,125,15,78
112,137,1,5
137,119,4,27
137,118,25,145
137,117,5,24
105,129,32,204
105,128,9,49
137,113,56,350
706,147,1,10
137,112,4,22
137,110,1,4
600,142,2,9
105,122,7,43
105,121,9,52
147,154,1,6
151,127,1,5
151,126,1,13
151,125,7,35
147,152,29,199
200,155,14,100
200,154,2,17
147,150,1,11
151,123,1,5
151,122,1,7
200,151,1,6
720,155,4,16
200,150,10,89
720,151,3,21
112,128,1,4
112,125,1,6
112,123,1,5
137,107,1,4
600,139,9,52
137,105,8,63
706,139,4,22
600,138,2,10
600,137,1,8
105,118,4,20
105,117,8,46
600,136,48,295
706,136,1,4
137,101,25,159
154,152,271,1832
600,133,2,11
105,113,5,34
147,148,62,351
600,131,1,10
151,119,1,4
151,118,2,9
147,145,5,31
200,147,2,13
151,117,4,22
147,142,1,18
200,145,4,27
147,141,1,7
200,144,4,23
151,113,2,11
200,142,18,114
144,109,8,43
720,142,7,36
1846,147,1,7
112,113,27,199
154,147,3,12
600,127,1,6
600,126,22,123
600,125,8,54
154,142,15,86
600,124,1,5
105,104,2,10
600,123,20,119
147,139,2,8
600,122,2,10
600,121,1,6
105,102,2,12
892,152,1,7
147,137,47,321
105,101,17,128
147,136,1,8
200,139,8,52
200,138,1,8
200,137,1,6
200,136,13,78
720,139,4,22
200,134,5,24
720,136,9,45
151,101,1,21
720,134,2,11
720,133,1,5
112,109,1,9
112,105,2,14
154,139,17,105
154,137,1,8
112,101,8,56
600,119,2,11
154,136,4,21
600,117,16,104
122,148,29,165
154,133,1,4
122,147,1,6
154,131,2,10
122,144,1,5
147,129,133,794
147,128,51,298
200,129,10,75
147,124,1,11
200,126,4,25
720,129,2,8
147,122,10,78
200,125,4,21
200,124,3,13
147,121,81,492
200,123,2,12
200,122,1,4
720,126,2,8
720,125,6,30
200,121,3,21
154,129,2,14
122,139,1,6
154,124,2,12
600,106,5,29
154,123,1,6
122,136,2,18
154,121,7,35
122,135,1,5
147,119,18,147
147,118,12,70
147,117,45,247
200,119,8,56
200,118,3,12
200,117,8,48
147,113,40,238
720,119,1,7
720,117,4,23
200,113,2,10
200,111,1,5
115,121,1,4
154,119,3,20
154,118,7,45
154,117,5,29
118,156,2,16
122,129,2,10
118,155,14,87
122,128,12,72
118,154,5,32
118,153,1,6
122,126,1,4
118,152,11,68
118,151,3,22
118,150,2,8
147,107,1,4
147,106,1,10
122,121,1,4
147,105,118,686
200,107,1,4
200,106,2,8
720,109,2,8
200,105,2,10
147,101,62,409
125,155,7,45
125,151,15,72
125,150,3,18
118,148,8,50
118,147,13,93
154,105,1,5
122,119,1,5
122,117,1,5
154,101,1,5
118,142,19,124
118,141,7,44
122,113,3,18
122,112,1,4
157,137,1,9
125,144,8,43
125,142,4,27
118,139,93,586
118,137,13,105
118,136,6,38
122,105,6,30
118,131,5,44
122,101,3,18
100,155,2,12
125,139,6,35
100,152,1,6
125,136,16,75
100,151,1,6
726,155,7,40
125,134,1,5
726,154,1,5
125,133,17,87
125,131,1,6
118,129,58,384
118,128,2,12
118,127,2,19
118,126,21,115
118,125,1,6
118,124,2,20
118,122,1,5
118,121,32,202
118,120,8,49
824,142,1,8
100,148,1,6
100,147,4,30
100,145,1,6
100,142,1,6
125,126,1,5
100,140,4,27
125,124,1,4
125,123,24,112
118,119,166,964
118,117,157,953
118,110,4,22
128,156,1,5
128,152,5,22
100,139,4,30
100,137,1,7
128,150,4,24
100,136,4,20
726,139,2,9
125,119,4,22
125,118,1,5
125,117,9,50
726,136,2,12
125,112,2,9
125,111,1,6
118,107,1,5
118,105,10,68
118,101,1,8
128,148,58,401
824,125,1,5
128,147,39,234
128,145,4,29
128,142,2,9
100,128,1,5
128,140,1,6
100,126,1,4
125,109,11,58
142,156,2,12
142,155,22,123
142,154,15,101
142,153,1,4
142,152,17,101
142,150,2,16
128,137,2,18
100,118,2,24
100,117,2,8
726,119,1,5
100,113,4,21
142,147,2,19
100,110,1,5
142,141,1,4
110,152,1,6
135,136,1,12
128,129,11,87
128,126,1,13
128,124,1,5
128,122,50,301
128,121,5,37
100,105,1,4
142,139,132,805
142,137,1,5
100,101,1,7
142,136,40,241
142,134,12,81
142,131,2,9
142,130,1,7
110,142,7,33
128,119,5,34
128,117,4,54
128,113,9,66
128,111,1,6
142,129,6,38
142,127,1,8
743,147,1,4
142,126,15,85
110,139,4,19
142,125,2,13
142,124,18,92
142,123,3,21
110,136,1,6
142,121,3,31
110,135,1,5
142,120,1,4
135,110,1,6
128,107,2,17
145,157,1,13
128,105,34,185
128,102,1,6
128,101,37,236
142,119,39,257
743,139,5,28
142,118,45,312
142,117,70,425
142,116,1,5
110,124,2,11
142,110,1,7
110,123,1,4
152,155,2,8
152,154,346,2256
145,148,5,34
145,147,10,63
113,152,2,16
743,129,1,4
138,136,1,10
113,151,1,6
142,109,2,14
142,106,1,7
743,125,1,4
110,118,4,32
106,142,1,11
142,101,1,10
110,113,2,14
152,147,54,323
152,145,2,10
152,142,12,64
152,141,4,42
145,137,21,137
120,151,1,8
113,148,20,138
113,147,23,143
113,145,23,150
113,142,2,9
743,119,1,10
113,140,1,4
106,138,1,6
743,117,1,6
106,136,2,12
106,134,1,8
152,139,46,286
152,137,32,210
152,136,2,22
152,131,3,15
145,128,36,222
120,142,2,12
120,140,1,4
113,139,2,11
113,137,22,170
145,122,3,34
106,129,4,20
851,142,1,6
148,156,1,8
152,129,33,192
152,128,2,11
152,127,1,5
152,126,2,16
148,153,1,5
148,152,1,5
120,139,4,41
148,151,1,5
152,124,3,14
152,122,1,5
152,121,97,615
145,118,1,6
922,112,1,9
890,131,1,20
113,129,1,4
109,155,2,8
113,128,49,283
109,154,1,5
145,113,89,546
145,112,7,43
113,122,9,49
113,121,5,25
851,133,1,9
106,117,2,10
155,153,1,4
106,113,2,8
148,147,13,84
152,119,9,61
148,145,1,8
152,118,22,143
152,117,10,60
148,142,1,4
120,129,2,13
152,113,2,13
152,111,6,30
145,109,1,6
109,148,1,7
120,121,2,25
145,105,8,48
721,140,6,34
113,119,1,8
630,154,3,22
109,145,3,14
113,117,2,9
109,144,5,29
630,153,4,32
145,102,1,5
630,152,4,27
109,142,2,16
145,101,44,276
155,148,1,4
113,112,49,308
155,142,2,21
155,141,1,4
123,155,10,51
148,139,1,5
106,101,1,8
148,137,5,33
148,135,1,9
152,106,1,4
120,119,2,12
120,117,1,5
152,101,3,14
116,141,2,20
109,139,5,24
721,131,1,13
109,137,1,5
113,109,1,4
109,136,20,108
109,134,3,12
113,105,27,184
851,118,1,6
130,155,1,8
113,104,1,4
155,139,7,49
113,102,1,7
113,101,162,977
155,136,13,78
148,129,7,37
148,128,8,70
123,141,1,4
123,140,1,8
148,122,9,60
148,121,2,11
630,138,1,8
109,126,1,4
109,125,14,72
155,129,1,9
130,142,1,6
155,127,1,12
155,126,3,18
123,139,1,4
123,136,3,14
123,133,9,48
148,117,5,41
148,113,7,67
109,118,2,18
109,117,2,18
130,139,2,17
130,137,2,11
109,113,1,4
155,119,6,39
731,154,1,5
155,117,14,69
847,121,1,4
119,156,4,24
119,155,11,53
119,154,2,9
123,127,1,4
123,126,3,21
119,152,2,12
123,125,14,68
119,150,13,142
148,107,1,8
123,122,1,4
123,121,3,12
148,105,12,69
116,119,2,18
116,118,2,11
148,102,1,6
148,101,7,52
630,118,1,4
126,155,17,102
126,152,1,4
109,101,1,4
126,151,1,11
126,150,1,4
119,148,2,8
